Fingerprint ID,coordinate_X,coordinate_Y,zone,c4:e9:84:42:ac:ff,00:26:5b:d1:93:38,00:06:91:d4:77:02,00:26:5b:d1:93:39,8c:5b:f0:78:a1:d6,00:06:91:d4:77:00,0c:47:3d:13:88:e8,0c:47:3d:13:88:e9,68:b6:fc:5b:01:08,1c:ab:c0:df:99:c8,1c:ab:c0:df:99:c9,bc:4d:fb:52:ea:28,bc:4d:fb:52:ea:29,00:fc:8d:cf:98:08,00:fc:8d:cf:98:09,FF:20:88:3C:97:E7,CA:E0:7D:11:26:B3
54,0.0,0.0,Bedroom,-75,0,-75,0,-67,-76,0,0,0,-68,-69,0,0,0,0,-91,-77
55,0.0,0.0,Bedroom,-68,0,-74,0,-69,-75,0,0,0,-68,-69,0,0,0,0,-96,-77
56,0.0,0.0,Bedroom,-68,-78,-75,-79,-65,-75,0,0,0,-67,-67,0,0,0,0,-86,-81
57,0.0,0.0,Bedroom,-68,-78,-76,-79,-65,-76,0,0,0,-67,-67,0,0,0,0,-93,-83
58,0.0,0.0,Bedroom,-68,-78,-76,-79,-65,-75,0,0,0,-67,-68,-79,-80,0,0,-90,-81
59,0.0,0.0,Bedroom,-68,-78,-76,-79,-65,-75,0,0,0,-67,-69,-79,-80,0,0,-91,-81
60,0.0,0.0,Bedroom,-68,-78,-76,-79,-65,-74,0,0,0,-67,-69,-79,-80,0,0,-87,-78
61,0.0,0.0,Bedroom,-68,0,-76,0,-66,-75,0,0,0,-67,0,-79,-80,0,0,-88,-84
62,0.0,0.0,Bedroom,-64,-77,-76,-77,-66,-75,0,0,0,-67,0,-79,-80,0,0,-92,-82
63,0.0,0.0,Bedroom,-66,-77,-76,-77,-66,-76,0,0,0,-67,0,0,0,0,0,-91,-81
64,0.0,0.0,Living Room,-69,0,-55,0,-74,-55,0,0,0,0,0,0,0,0,0,-87,-83
65,0.0,0.0,Living Room,-69,0,-55,0,-64,-55,0,0,0,-80,-79,0,0,0,0,-76,-76
66,0.0,0.0,Living Room,-69,0,-55,0,-62,-55,0,0,0,-80,-79,0,0,0,0,-75,-75
67,0.0,0.0,Living Room,-69,0,-55,0,-62,-55,0,0,0,-80,-79,0,0,0,0,-76,-81
68,0.0,0.0,Living Room,-70,0,-55,0,-63,-55,0,0,0,-80,-79,0,0,0,0,-85,-77
69,0.0,0.0,Living Room,-71,0,-57,0,-62,-56,0,0,0,0,0,0,0,0,0,-75,-81
70,0.0,0.0,Living Room,-71,0,-55,0,-65,-56,0,0,0,0,0,0,0,0,0,-84,-77
