Fingerprint ID,coordinate_X,coordinate_Y,c4:e9:84:42:ac:ff,00:06:91:d4:77:00,00:06:91:d4:77:02,8c:5b:f0:78:a1:d6,1c:ab:c0:df:99:c8,1c:ab:c0:df:99:c9,00:26:5b:d1:93:38,00:26:5b:d1:93:39,00:fc:8d:cf:98:08,00:fc:8d:cf:98:09,bc:4d:fb:52:ea:28,bc:4d:fb:52:ea:29,FF:20:88:3C:97:E7,CA:E0:7D:11:26:B3,E1:E9:C3:D9:09:C3
584,0.0,-0.5,-69,-61,-61,-74,0,0,0,0,0,0,0,0,-80,-76,0
585,0.0,-0.5,-70,-60,-61,-68,0,0,0,0,0,0,0,0,-81,-78,0
586,0.0,-0.5,-66,-60,-61,-68,0,0,0,0,0,0,0,0,-81,-82,0
587,0.0,-0.5,-65,-60,-61,-68,-75,-73,0,0,0,0,0,0,0,-76,0
588,0.0,-0.5,-65,-60,-61,-70,-75,-73,0,0,0,0,0,0,-81,-82,0
589,0.0,-0.5,-66,-59,-61,-68,-75,-73,0,0,0,0,0,0,-81,-77,0
590,0.0,-0.5,-65,-60,-61,-59,-75,-73,0,0,0,0,0,0,-74,-76,0
591,0.0,-0.5,-65,-60,-61,-58,-74,-73,0,0,0,0,0,0,-82,-77,0
592,0.0,-0.5,-65,-60,-61,-63,-74,-73,0,0,0,0,0,0,-81,-77,0
593,0.0,-0.5,-65,-60,-61,-59,-74,-73,0,0,0,0,0,0,-76,-82,0
594,0.0,-1.0,-69,-52,-53,0,-73,-72,0,0,0,0,0,0,-86,-84,0
595,0.0,-1.0,-71,-53,-54,0,-73,-72,0,0,0,0,0,0,-77,-77,0
596,0.0,-1.0,-68,-53,-54,0,0,0,0,0,0,0,0,0,-85,-82,0
597,0.0,-1.0,-68,-54,-52,0,0,0,0,0,0,0,0,0,-79,-82,0
598,0.0,-1.0,-67,-52,-54,0,0,0,0,0,0,0,0,0,-86,-78,0
599,0.0,-1.0,-67,-52,-54,-53,-78,0,0,0,0,0,0,0,-77,-82,0
600,0.0,-1.0,-67,-52,-54,-53,-78,0,0,0,0,0,0,0,-85,-77,0
601,0.0,-1.0,-67,-53,-55,0,-78,-77,0,0,0,0,0,0,-86,-78,0
602,0.0,-1.0,-68,-52,-55,0,-78,-77,0,0,0,0,0,0,-86,-84,0
603,0.0,-1.0,-66,-52,-53,0,-77,-77,0,0,0,0,0,0,-85,-78,0
604,0.0,-1.5,-70,-61,-60,0,-77,-77,0,0,0,0,0,0,-79,-78,0
605,0.0,-1.5,-77,-60,-60,-56,0,0,0,0,0,0,0,0,-81,-79,0
606,0.0,-1.5,-77,-60,-60,-58,0,0,0,0,0,0,0,0,-80,-82,0
607,0.0,-1.5,-79,-60,-60,-60,0,0,0,0,0,0,0,0,-79,-78,0
608,0.0,-1.5,-80,-60,-60,-61,0,0,0,0,0,0,0,0,-79,-82,0
609,0.0,-1.5,-81,-59,-59,-56,0,0,0,0,0,0,0,0,-80,-81,0
610,0.0,-1.5,-80,-60,-60,-58,0,0,0,0,0,0,0,0,-80,-81,0
611,0.0,-1.5,-80,-60,-60,-60,-78,-77,0,0,0,0,0,0,-80,-82,0
612,0.0,-1.5,-81,-60,-60,-60,-78,-77,0,0,0,0,0,0,-78,-78,0
613,0.0,-1.5,-80,-60,-60,-61,-78,-77,0,0,0,0,0,0,-79,-79,0
614,-0.5,-1.5,-70,-59,-59,0,-78,-76,0,0,0,0,0,0,-82,-76,0
615,-0.5,-1.5,-65,-61,-62,0,-76,-73,0,0,0,0,0,0,-87,-78,0
616,-0.5,-1.5,-63,-62,-62,-67,-76,-73,0,0,0,0,0,0,-100,-75,0
617,-0.5,-1.5,-63,-62,-62,-69,-73,0,0,0,0,0,0,0,-86,-78,0
