coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi
0.0,2.0,-77,-79.4
0.0,2.0,-80,-79.5
0.0,2.0,-86,-80.42857142857143
0.0,2.0,-86,-81.125
0.0,2.0,-82,-81.22222222222223
0.0,2.5,-81,-81.0
0.0,2.5,-82,-81.5
0.0,2.5,-83,-82.0
0.0,2.5,-86,-83.0
0.0,2.5,-81,-82.6
0.0,2.5,-80,-80.0
0.0,2.5,-86,-83.0
0.0,2.5,-87,-84.33333333333333
0.0,2.5,-81,-83.5
0.0,2.5,-85,-85.0
0.0,2.5,-79,-82.0
0.0,2.5,-82,-82.0
0.0,2.5,-80,-81.5
0.0,2.5,-81,-81.4
0.0,2.5,-84,-84.0
0.0,2.5,-80,-82.0
0.0,2.5,-85,-83.0
0.0,2.5,-83,-83.0
0.0,2.5,-84,-84.0
0.0,2.5,-85,-84.5
0.0,2.5,-82,-83.66666666666667
0.0,2.5,-85,-84.0
0.0,2.5,-82,-82.0
0.0,2.5,-81,-81.5
0.0,2.5,-78,-80.33333333333333
0.0,2.5,-81,-80.5
0.0,2.5,-86,-86.0
0.0,2.5,-80,-83.0
0.0,2.5,-84,-83.33333333333333
0.0,2.5,-80,-82.5
0.0,2.5,-83,-82.6
0.0,2.5,-86,-86.0
0.0,2.5,-82,-84.0
0.0,2.5,-80,-82.66666666666667
0.0,2.5,-84,-83.0
0.0,2.5,-86,-86.0
0.0,2.5,-80,-83.0
0.0,2.5,-83,-83.0
0.0,2.5,-79,-82.0
0.0,2.5,-82,-82.0
0.0,2.5,-83,-82.5
0.0,2.5,-82,-82.33333333333333
0.0,2.5,-84,-82.75
0.0,2.5,-80,-82.2
0.0,2.5,-79,-79.0
0.0,2.5,-81,-80.0
0.0,2.5,-86,-82.0
0.0,2.5,-83,-82.25
0.0,2.5,-87,-83.2
0.0,2.5,-82,-83.0
0.0,2.5,-91,-84.14285714285714
0.0,2.5,-83,-84.0
0.0,3.0,-87,-87.0
0.0,3.0,-84,-85.5
0.0,3.0,-83,-84.66666666666667
0.0,3.0,-82,-84.0
0.0,3.0,-82,-82.0
0.0,3.0,-80,-81.0
0.0,3.0,-82,-81.33333333333333
0.0,3.0,-82,-81.5
0.0,3.0,-82,-82.0
0.0,3.0,-81,-81.5
0.0,3.0,-82,-81.66666666666667
0.0,3.0,-79,-81.0
0.0,3.0,-84,-81.6
0.0,3.0,-79,-79.0
0.0,3.0,-80,-79.5
0.0,3.0,-80,-79.66666666666667
0.0,3.0,-83,-80.5
0.0,3.0,-84,-84.0
0.0,3.0,-84,-84.0
0.0,3.0,-81,-83.0
0.0,3.0,-80,-82.25
0.0,3.0,-81,-82.0
0.0,3.0,-87,-87.0
0.0,3.0,-83,-85.0
0.0,3.0,-81,-83.66666666666667
0.0,3.0,-80,-82.75
0.0,3.0,-80,-80.0
0.0,3.0,-80,-80.0
0.0,3.0,-82,-80.66666666666667
0.0,3.0,-81,-80.75
0.0,3.0,-84,-81.4
0.0,3.0,-82,-82.0
0.0,3.0,-81,-81.5
0.0,3.0,-83,-82.0
0.0,3.0,-82,-82.0
0.0,3.0,-90,-90.0
0.0,3.0,-82,-86.0
0.0,3.0,-85,-85.66666666666667
0.0,3.0,-82,-84.75
0.0,3.0,-84,-84.6
0.0,3.0,-86,-86.0
0.0,3.0,-85,-85.5
0.0,3.0,-84,-85.0
0.0,3.0,-85,-85.0
0.0,3.0,-86,-85.5
0.0,3.0,-86,-85.66666666666667
0.0,3.0,-83,-85.0
0.0,3.0,-82,-84.4
0.0,3.0,-86,-84.66666666666667
0.0,3.5,-81,-81.0
0.0,3.5,-82,-81.5
0.0,3.5,-82,-81.66666666666667
0.0,3.5,-84,-82.25
0.0,3.5,-84,-84.0
0.0,3.5,-87,-85.5
0.0,3.5,-79,-83.33333333333333
0.0,3.5,-81,-82.75
0.0,3.5,-78,-78.0
0.0,3.5,-77,-77.5
0.0,3.5,-82,-79.0
0.0,3.5,-84,-80.25
0.0,3.5,-83,-80.8
0.0,3.5,-84,-84.0
0.0,3.5,-85,-84.5
0.0,3.5,-84,-84.33333333333333
0.0,3.5,-77,-82.5
0.0,3.5,-82,-82.0
0.0,3.5,-82,-82.0
0.0,3.5,-83,-82.33333333333333
0.0,3.5,-83,-82.5
0.0,3.5,-81,-82.2
0.0,3.5,-83,-83.0
0.0,3.5,-83,-83.0
0.0,3.5,-83,-83.0
0.0,3.5,-83,-83.0
0.0,3.5,-82,-82.0
0.0,3.5,-83,-82.5
0.0,3.5,-83,-82.66666666666667
0.0,3.5,-83,-82.75
0.0,3.5,-78,-78.0
0.0,3.5,-80,-79.0
0.0,3.5,-77,-78.33333333333333
0.0,3.5,-75,-77.5
