coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0.0,0.0,-48,-48.142857142857146,Personal
0.0,0.0,-48,-48.13636363636363,Personal
0.0,0.0,-48,-48.130434782608695,Personal
0.0,0.0,-48,-48.125,Personal
0.0,0.0,-48,-48.12,Personal
0.0,0.0,-48,-48.11538461538461,Personal
0.0,0.0,-48,-48.111111111111114,Personal
0.0,0.0,-48,-48.107142857142854,Personal
0.0,0.0,-47,-48.06896551724138,Personal
0.0,0.0,-47,-48.03333333333333,Personal
0.0,0.0,-47,-48.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-46,-46.90909090909091,Personal
0.0,0.0,-47,-46.916666666666664,Personal
0.0,0.0,-47,-46.92307692307692,Personal
0.0,0.0,-47,-46.92857142857143,Personal
0.0,0.0,-48,-47.0,Personal
0.0,0.0,-47,-47.0,Personal
0.0,0.0,-48,-47.05882352941177,Personal
0.0,0.0,-47,-47.05555555555556,Personal
0.0,0.0,-47,-47.05263157894737,Personal
0.0,0.0,-47,-47.05,Personal
0.0,0.0,-50,-47.19047619047619,Personal
0.0,0.0,-50,-47.31818181818182,Personal
0.0,0.0,-50,-47.43478260869565,Personal
0.0,0.0,-50,-47.541666666666664,Personal
0.0,0.0,-50,-47.64,Personal
0.0,0.0,-50,-47.73076923076923,Personal
0.0,0.0,-50,-47.81481481481482,Personal
0.0,0.0,-50,-47.892857142857146,Personal
0.0,0.0,-50,-47.96551724137931,Personal
0.0,0.0,-48,-48.0,Personal
0.0,0.0,-47,-47.5,Personal
0.0,0.0,-47,-47.333333333333336,Personal
0.0,0.0,-47,-47.25,Personal
0.0,0.0,-47,-47.2,Personal
0.0,0.0,-47,-47.166666666666664,Personal
0.0,0.0,-50,-47.57142857142857,Personal
0.0,0.0,-50,-47.875,Personal
0.0,0.0,-50,-48.111111111111114,Personal
0.0,0.0,-50,-48.3,Personal
0.0,0.0,-50,-48.45454545454545,Personal
0.0,0.0,-50,-48.583333333333336,Personal
0.0,0.0,-50,-48.69230769230769,Personal
0.0,0.0,-50,-48.785714285714285,Personal
0.0,0.0,-51,-48.93333333333333,Personal
0.0,0.0,-51,-49.0625,Personal
0.0,0.0,-51,-49.1764705882353,Personal
0.0,0.0,-51,-49.27777777777778,Personal
0.0,0.0,-51,-49.36842105263158,Personal
0.0,0.0,-51,-49.45,Personal
0.0,0.0,-51,-49.523809523809526,Personal
0.0,0.0,-51,-49.59090909090909,Personal
0.0,0.0,-51,-49.65217391304348,Personal
0.0,0.0,-50,-49.666666666666664,Personal
