,metric,mae,rmse,sd,p50,p75,p90,p95,min,max
0,euclidean,2.304610965644572,2.851889349024711,1.6807337749130549,2.0065141630061607,3.035925879635877,3.94814911280688,4.395501401514966,0.009307531514194167,22.212709074861735
1,manhattan,2.125823873312338,2.436192377241247,1.1905139571066596,2.0,2.7525568397765134,3.673767088724269,4.211569701105672,0.0015750370285907422,8.266666666666666
2,canberra,2.0708146924294977,2.396229327791593,1.206273848503841,2.0,2.780921128980118,3.7917325868847236,4.319200761268676,0.028863917030502506,6.933314216491041
3,braycurtis,2.0786534838225714,2.3774759172946305,1.1545234323581757,2.0,2.745414212603845,3.631982652674322,4.193252342183479,0.0012979700117377035,7.4307911347842825
