,scaler,mae,rmse,sd,p50,p75,p90,p95,min,max
0,No Scaling,2.2032337085106395,2.5785994696856127,1.3404227631345647,2.0,2.918448194828225,3.944851871125507,4.724774547082126,0.0002743760302710285,8.980178447065342
1,Rescaling,2.1544913536842585,2.4811876663117225,1.2312494538373469,2.0,2.839236681982647,3.7346346140426387,4.147790305530659,0.012591199757841842,8.006141632022953
2,Standardization,2.0786534838225714,2.3774759172946305,1.1545234323581757,2.0,2.745414212603845,3.631982652674322,4.193252342183479,0.0012979700117377035,7.4307911347842825
