,x,y,x_predicted,y_predicted,error
0,0.25,0.75,2.4846732220184857,0.75,2.2346732220184857
1,0.25,0.75,2.49383245985012,0.7500000000000001,2.24383245985012
2,0.25,0.75,2.506228118258641,0.75,2.256228118258641
3,0.25,0.75,3.4290920676760623,0.7499999999999999,3.1790920676760623
4,0.25,0.75,3.358205372323326,0.7499999999999999,3.108205372323326
5,0.25,0.75,2.505899947225591,0.7499999999999998,2.255899947225591
6,0.25,0.75,2.8764547768187034,0.75,2.6264547768187034
7,0.25,0.75,2.502054619021615,0.7500000000000002,2.252054619021615
8,0.25,0.75,2.4939400374073637,0.75,2.2439400374073637
9,0.25,0.75,2.489418290869878,0.7500000000000001,2.239418290869878
10,0.25,0.75,3.3664659991030166,0.7500000000000001,3.1164659991030166
11,0.25,0.75,2.4878337701210724,0.7499999999999999,2.2378337701210724
12,0.25,0.75,2.475928770978896,0.7500000000000002,2.225928770978896
13,0.25,0.75,2.4749245934492823,0.7499999999999999,2.2249245934492823
14,0.25,0.75,2.4759324853073674,0.7500000000000001,2.2259324853073674
15,0.25,0.75,2.512300960354745,0.75,2.262300960354745
16,0.25,0.75,2.5025831069417834,0.75,2.2525831069417834
17,0.25,0.75,2.7717912697692997,0.7499999999999999,2.5217912697692997
18,0.25,0.75,2.769565878277033,0.7499999999999999,2.519565878277033
19,0.25,0.75,2.4759185442331306,0.75,2.2259185442331306
20,10.25,0.75,8.870275587524182,0.7499999999999999,1.3797244124758183
21,10.25,0.75,3.831618628697279,0.7500000000000001,6.418381371302721
22,10.25,0.75,8.611265041382582,0.75,1.6387349586174178
23,10.25,0.75,8.32932197162803,0.7500000000000003,1.9206780283719702
24,10.25,0.75,8.293970036588826,0.75,1.956029963411174
25,10.25,0.75,7.727866984723739,0.75,2.5221330152762613
26,10.25,0.75,6.9181194414168665,0.7500000000000002,3.3318805585831335
27,10.25,0.75,7.650390076703468,0.7500000000000001,2.5996099232965317
28,10.25,0.75,4.969377238925069,0.7499999999999998,5.280622761074931
29,10.25,0.75,10.454209672600747,0.75,0.20420967260074718
30,10.25,0.75,8.049824080777771,0.75,2.2001759192222288
31,10.25,0.75,7.875811871041112,0.7500000000000002,2.374188128958888
32,10.25,0.75,8.917581945052522,0.7500000000000001,1.3324180549474782
33,10.25,0.75,8.393485682110706,0.75,1.8565143178892942
34,10.25,0.75,5.476343771407805,0.7500000000000002,4.773656228592195
35,10.25,0.75,8.952249261174009,0.7500000000000001,1.2977507388259912
36,10.25,0.75,8.910798116228046,0.7499999999999999,1.3392018837719544
37,10.25,0.75,7.101323538881445,0.7499999999999999,3.148676461118555
38,10.25,0.75,8.779844193925072,0.7499999999999999,1.4701558060749278
39,10.25,0.75,6.214537974524678,0.7499999999999999,4.035462025475322
40,12.25,0.75,9.877021460401883,0.7500000000000002,2.372978539598117
41,12.25,0.75,10.128252672597661,0.75,2.121747327402339
42,12.25,0.75,11.044991819665443,0.8826390337210753,1.2122861988572096
43,12.25,0.75,9.751991484137678,0.7499999999999998,2.498008515862322
44,12.25,0.75,12.095464757957918,1.0136378225654172,0.3055912998107753
45,12.25,0.75,10.340447391299323,0.7803905541392712,1.9097944264177893
46,12.25,0.75,11.609994859725825,0.9442849799608318,0.6688447002225159
47,12.25,0.75,10.933421661928652,0.8476316659898074,1.3201933428413655
48,12.25,0.75,11.621397591250009,0.9459139416071443,0.6584248330693021
49,12.25,0.75,9.433667202664413,0.7499999999999999,2.816332797335587
50,12.25,0.75,9.914293573534673,0.8190882970041081,2.3367279908911853
51,12.25,0.75,10.109245651130472,0.7500000000000001,2.140754348869528
52,12.25,0.75,10.475400309578067,0.782200044225438,1.774891800672295
53,12.25,0.75,11.634032501263595,0.947718928751942,0.646922510264095
54,12.25,0.75,10.250000000000002,0.7500000000000001,1.9999999999999982
55,12.25,0.75,10.0189170383531,0.7500000000000001,2.2310829616468997
56,12.25,0.75,11.421869983817976,0.9174099976882827,0.8448819035981484
57,12.25,0.75,11.741661385246616,1.0183093382055748,0.5748026167456993
58,12.25,0.75,9.727614549751689,0.7499999999999999,2.5223854502483114
59,12.25,0.75,10.00246985246387,0.8128860994048346,2.2484097548227577
60,13.75,1.25,12.250000000000002,0.75,1.581138830084188
61,13.75,1.25,12.25,0.7499999999999999,1.5811388300841898
62,13.75,1.25,12.25,0.75,1.5811388300841898
63,13.75,1.25,12.142426882717716,0.7500000000000001,1.6835353656542769
64,13.75,1.25,12.250000000000002,0.7500000000000002,1.581138830084188
65,13.75,1.25,12.25,0.75,1.5811388300841898
66,13.75,1.25,12.014297296212327,0.7500000000000001,1.8062845501016278
67,13.75,1.25,12.25,0.75,1.5811388300841898
68,13.75,1.25,12.249999999999998,0.7500000000000001,1.5811388300841913
69,13.75,1.25,12.250000000000004,0.75,1.5811388300841862
70,13.75,1.25,12.249999999999996,0.7500000000000001,1.581138830084193
71,13.75,1.25,12.137198253731674,0.7499999999999998,1.6885287894395415
72,13.75,1.25,12.136127268559418,0.75,1.6895517728934748
73,13.75,1.25,12.137378143915218,0.75,1.688356967801042
74,13.75,1.25,12.25,0.7499999999999999,1.5811388300841898
75,13.75,1.25,12.249999999999998,0.75,1.5811388300841913
76,13.75,1.25,12.250000000000002,0.7500000000000001,1.581138830084188
77,13.75,1.25,12.250000000000004,0.7500000000000001,1.5811388300841862
78,13.75,1.25,11.886735589878498,0.75,1.9291848698415166
79,13.75,1.25,12.25,0.7500000000000001,1.5811388300841898
80,13.75,11.25,15.812674811115082,9.92481044974848,2.4516840580516215
81,13.75,11.25,17.621094256643715,11.250000000000004,3.8710942566437154
82,13.75,11.25,13.866847077118146,8.750406739825221,2.502322862010862
83,13.75,11.25,14.140754826709058,8.602723229263447,2.675960320236042
84,13.75,11.25,15.745409761282035,10.748197860296244,2.0575387002024765
85,13.75,11.25,14.892299319488533,10.132779903165495,1.597819914782284
86,13.75,11.25,14.49561471916877,9.745204401174057,1.6793900987224657
87,13.75,11.25,14.920709099686292,10.161381640110282,1.5986399624609875
88,13.75,11.25,14.252340236603713,8.985002305102528,2.3200345409501852
89,13.75,11.25,14.727997331484524,9.204329592719668,2.2674316297549804
90,13.75,11.25,13.749999999999998,8.137685491750517,3.112314508249483
91,13.75,11.25,14.820337606955482,10.064995121821834,1.5968278411178949
92,13.75,11.25,16.240222915280334,10.989231046348944,2.5038391751419566
93,13.75,11.25,15.040103983693143,10.168772454703046,1.6832769509055232
94,13.75,11.25,15.04499501162407,10.415602400919015,1.5405295951338742
95,13.75,11.25,14.887287546734445,10.125164829926636,1.5995865477651487
96,13.75,11.25,15.032909695461337,10.291111444349925,1.601663057220646
97,13.75,11.25,14.641964378369241,10.011893700188965,1.5259448423555158
98,13.75,11.25,14.503130645381688,9.871014908896047,1.5712433454115295
99,13.75,11.25,14.494731919744227,9.753210463734357,1.6718267099673463
100,13.75,3.25,13.750000000000002,3.3732805984816556,0.12328059848165562
101,13.75,3.25,13.750000000000005,2.8865186558628926,0.3634813441371074
102,13.75,3.25,13.749999999999998,2.89194126777619,0.3580587322238098
103,13.75,3.25,13.750000000000004,5.41078954217443,2.16078954217443
104,13.75,3.25,13.75,5.733488817480197,2.483488817480197
105,13.75,3.25,13.75,3.4731645286578874,0.22316452865788738
106,13.75,3.25,13.750000000000004,4.7732389345924195,1.5232389345924195
107,13.75,3.25,13.750000000000005,3.385549400888833,0.13554940088883294
108,13.75,3.25,13.750000000000002,3.6062735490630686,0.35627354906306863
109,13.75,3.25,13.750000000000002,1.7737709741265364,1.4762290258734636
110,13.75,3.25,13.750000000000004,3.217565622854802,0.032434377145198034
111,13.75,3.25,13.749999999999998,4.72240241536568,1.4724024153656803
112,13.75,3.25,13.75,3.38306966993633,0.13306966993632985
113,13.75,3.25,13.749999999999998,6.545435096564049,3.2954350965640486
114,13.75,3.25,13.750000000000002,4.20178580046364,0.9517858004636404
115,13.75,3.25,13.749999999999998,2.2468205677418602,1.0031794322581398
116,13.75,3.25,13.750000000000002,1.9872325501420138,1.2627674498579862
117,13.75,3.25,13.750000000000005,3.0375944349860284,0.21240556501397156
118,13.75,3.25,13.75,6.218398375239005,2.968398375239005
