,orientation,mae,rmse,sd,p50,p75,p90,p95,min,max
0,Train: left-to-right-point Test: all,2.271966812131293,2.620055512666318,1.3055888542276362,2.110888933955721,3.062813254228894,4.000043971277166,4.4937451470958045,8.95090418262362e-16,7.359108107028575
1,Train: left-to-right-point Test: left-to-right-point,2.078508218851164,2.3986071517889087,1.1983287680991228,2.035648468155479,2.7429546453993834,3.4541144979233462,4.11862553909532,0.002818865329221154,7.359108107028575
2,Train: left-to-right-point Test: right-to-left-point,2.4654254054114135,2.824192895376204,1.3789656170446642,2.1242330573845454,3.480433610910441,4.247193449917728,4.735089835709753,8.95090418262362e-16,6.551944817982143
3,Train: right-to-left-point Test: all,2.2265959809636238,2.6051638437694735,1.3531370848553321,2.0000000000000004,2.9019591142136614,4.035956584710418,4.878423408715454,0.009237604486801665,8.0
4,Train: right-to-left-point Test: left-to-right-point,2.344952235061861,2.7574324566465926,1.452188165901653,2.1203103832272414,3.0056990369660475,4.560532141327612,5.347580330604057,0.009237604486801665,8.0
5,Train: right-to-left-point Test: right-to-left-point,2.1082397268653885,2.443424554349782,1.2364085972301326,2.0,2.780446669078352,3.721208206637658,4.54910858335703,0.030376234852564465,7.345844451340206
