,reference_points_spacing,mae,rmse,sd,p50,p75,p90,p95,min,max
0,odd,2.27034103976925,2.6146478396397765,1.2986600083639517,2.0,2.8468312950344887,4.0,4.391950231618011,0.02453752150979227,10.68567329980431
1,even,2.0093378864229647,2.3722003257912894,1.2628139031432595,1.9999999999999991,2.4130051550211533,3.2655585808808643,4.1254779121118,0.029063617424139654,7.4687174365242655
2,all,2.2449056273905548,2.555935489772518,1.2225790983165625,2.0,2.7718329144145235,4.0,4.390628485092857,0.017946225767460078,9.563780918472464
