,filename,place,floor,x,y,orientation,sample_id,timestamp,00:15:f9:6c:7a:e1,00:15:f9:6c:7a:e0,00:15:f9:6c:7a:e2,00:15:f9:6c:7a:d2,00:15:f9:6c:7a:d1,00:15:f9:6c:7a:d0,00:17:df:7d:70:51,00:15:f9:6c:7d:71,00:17:df:7d:70:52,00:17:df:7d:70:50,00:15:f9:6c:7d:70,00:15:f9:6c:7d:72,88:e3:ab:11:f4:ee,00:11:21:66:75:81,00:11:21:66:75:80,00:11:21:66:75:82,00:12:da:9e:32:31,00:12:da:9e:32:32,00:12:da:9e:32:30,00:11:21:6c:4e:71,00:11:21:6c:4e:72,00:11:21:6c:4e:70,00:12:80:17:ac:ae,00:15:f9:6c:7d:21,00:11:21:6c:50:e0,00:11:21:6c:50:e1,00:11:21:6c:50:e2,00:12:da:9e:31:91,00:15:f9:6c:7d:22,00:15:f9:6c:7d:20,00:0f:60:06:71:2e,00:1b:fc:22:43:4e,00:12:43:f1:c4:41,00:12:43:f1:c4:40,00:12:43:f1:c4:42,bc:14:01:9c:37:08,bc:14:01:9c:37:09,30:8d:99:64:aa:8d,b0:5b:67:c2:a0:16
19,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,19,1461864822344,-57.0,-57.0,-57.0,-69.0,-69.0,-69.0,-87.0,,-89.0,-87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,67.595184,0,1461865628664,-62.0,-62.0,-62.0,-69.0,-69.0,-69.0,,-75.0,,,-72.0,-74.0,,-88.0,,-84.0,-78.0,-78.0,-79.0,-87.0,-87.0,,,,,,,,,,,,,,,,,,
21,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,1,1461865628664,-61.0,-61.0,-60.0,-70.0,-70.0,-70.0,,-82.0,,,-82.0,-81.0,,-89.0,,-87.0,-87.0,-87.0,-79.0,-87.0,-87.0,,,,,,,,,,,,,,,,,,
22,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,2,1461865628664,-58.0,-58.0,-58.0,-72.0,-72.0,-70.0,,-71.0,,,-69.0,-71.0,,-89.0,-87.0,-87.0,-82.0,-81.0,-81.0,-88.0,-88.0,,,,,,,,,,,,,,,,,,
23,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,3,1461865628664,-58.0,-57.0,-58.0,-70.0,-70.0,-70.0,,-72.0,,,-73.0,-72.0,,-89.0,-87.0,-87.0,-81.0,-82.0,-81.0,-88.0,-88.0,,,,,,,,,,,,,,,,,,
24,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,4,1461865628664,-62.0,-63.0,-62.0,-68.0,-68.0,-69.0,,-72.0,,,-73.0,-72.0,,-87.0,-86.0,-87.0,-79.0,-79.0,-81.0,-89.0,-90.0,,,,,,,,,,,,,,,,,,
25,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,5,1461865628664,-53.0,-53.0,-53.0,-70.0,-70.0,-70.0,,-72.0,,,-72.0,-70.0,,-87.0,-86.0,-86.0,-82.0,-82.0,-80.0,-89.0,-90.0,,,,,,,,,,,,,,,,,,
26,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,6,1461865628664,-54.0,-54.0,-55.0,-71.0,-70.0,-70.0,,-72.0,,,-72.0,-72.0,,-86.0,,-86.0,-80.0,-80.0,-80.0,,,-90.0,,,,,,,,,,,,,,,,,
27,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,7,1461865628664,-54.0,-55.0,-55.0,-70.0,-70.0,-70.0,,-70.0,,,-71.0,-72.0,,-86.0,,-86.0,-81.0,-81.0,-80.0,-88.0,-89.0,-90.0,,,,,,,,,,,,,,,,,
28,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,8,1461865628664,-55.0,-55.0,-56.0,-71.0,-71.0,-71.0,,-72.0,,,-73.0,-69.0,,-88.0,,,-82.0,-83.0,-79.0,-86.0,-90.0,-88.0,,,,,,,,,,,,,,,,,
29,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,9,1461865628664,-56.0,-57.0,-57.0,-71.0,-71.0,-70.0,,-73.0,,,-74.0,-75.0,,-86.0,-86.0,-85.0,-80.0,-80.0,-80.0,-88.0,-89.0,-88.0,,,,,,,,,,,,,,,,,
30,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,10,1461865628664,-63.0,-67.0,-67.0,-66.0,-67.0,-68.0,,-70.0,,,-71.0,-68.0,,-86.0,-86.0,-86.0,-83.0,-84.0,-83.0,-88.0,-88.0,,,,,,,,,,,,,,,,,,
31,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,11,1461865628664,-56.0,-56.0,-56.0,-68.0,-68.0,-68.0,,-71.0,,,-70.0,-72.0,,-87.0,-87.0,-86.0,-83.0,-84.0,-80.0,-90.0,-90.0,,,,,,,,,,,,,,,,,,
32,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,12,1461865628664,-55.0,-55.0,-55.0,-67.0,-68.0,-68.0,,-70.0,,,-70.0,-70.0,,-85.0,-87.0,-85.0,-80.0,-81.0,-80.0,-88.0,-90.0,,,,,,,,,,,,,,,,,,
33,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,13,1461865628664,-54.0,-53.0,-53.0,-68.0,-68.0,-68.0,,-75.0,,,-70.0,-73.0,,-85.0,-87.0,-85.0,-79.0,-80.0,-79.0,-88.0,-88.0,-88.0,,,,,,,,,,,,,,,,,
34,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,14,1461865628664,-61.0,-61.0,-61.0,-69.0,-67.0,-67.0,,-67.0,,,-69.0,-67.0,,,-87.0,,-79.0,-78.0,-78.0,,-88.0,-88.0,,,,,,,,,,,,,,,,,
