,reference_points_spacing,mae,rmse,sd,p50,p75,p90,p95,min,max
0,odd,3.6400833632019722,3.8897609001145663,1.3724632538610106,3.9999999999999996,4.2258303961748,4.899383159116706,5.699411406220698,0.004238059067400712,8.660702473371344
1,even,4.058169228533427,4.3229309221173535,1.4911830289639276,4.0,4.8044485308035405,5.897442992211366,6.732380900419994,0.04038442973325118,7.754048364655236
2,all,2.07865348382257,2.3774759172946296,1.1545234323581766,2.0,2.745414212603845,3.631982652674322,4.193252342183479,0.0012979700117377035,7.4307911347842825
