,filename,place,floor,x,y,orientation,sample_id,mac_address,timestamp,signal_strength
42,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,4,00:15:f9:6c:7a:d2,1461864822344,-69
43,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,4,00:15:f9:6c:7a:d1,1461864822344,-69
44,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,4,00:15:f9:6c:7a:d0,1461864822344,-69
45,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,4,00:17:df:7d:70:51,1461864822344,-88
46,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,4,00:17:df:7d:70:50,1461864822344,-88
47,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,4,00:15:f9:6c:7d:72,1461864822344,-87
48,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,5,00:15:f9:6c:7a:e1,1461864822344,-63
49,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,5,00:15:f9:6c:7a:e0,1461864822344,-63
50,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,5,00:15:f9:6c:7a:e2,1461864822344,-62
51,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,5,00:15:f9:6c:7a:d2,1461864822344,-69
52,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,5,00:15:f9:6c:7a:d1,1461864822344,-69
53,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,5,00:15:f9:6c:7a:d0,1461864822344,-69
54,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,5,00:17:df:7d:70:51,1461864822344,-88
55,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,5,00:17:df:7d:70:50,1461864822344,-88
56,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,5,00:15:f9:6c:7d:72,1461864822344,-87
57,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,5,00:17:df:7d:70:52,1461864822344,-89
58,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,6,00:15:f9:6c:7a:e1,1461864822344,-61
59,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,6,00:15:f9:6c:7a:e0,1461864822344,-62
60,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,6,00:15:f9:6c:7a:e2,1461864822344,-62
61,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,6,00:15:f9:6c:7a:d2,1461864822344,-71
62,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,6,00:15:f9:6c:7a:d1,1461864822344,-71
63,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,6,00:15:f9:6c:7a:d0,1461864822344,-71
64,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,6,00:17:df:7d:70:50,1461864822344,-88
65,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,6,00:17:df:7d:70:52,1461864822344,-89
66,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,7,00:15:f9:6c:7a:e1,1461864822344,-62
67,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,7,00:15:f9:6c:7a:e0,1461864822344,-61
68,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,7,00:15:f9:6c:7a:e2,1461864822344,-61
