,metric,mae,rmse,sd,p50,p75,p90,p95,min,max
0,euclidean,0.4281682111322723,0.8878045314031183,0.7782892801087375,3.552713678800501e-15,0.683632740432423,1.2855271931384544,1.9159796119534152,0.0,6.416316273879577
1,manhattan,0.2420697841396984,0.6302889630614408,0.5823666352447229,1.7798229048217483e-15,0.3047222412598418,0.7569688207849552,1.2509976061197758,0.0,5.229685303629326
2,canberra,0.48030433979753623,0.9013849778966809,0.7633052830943465,0.22991182197437332,0.7051210712844491,1.388533764630693,1.8575623720364738,0.0,6.0
3,braycurtis,0.25037003523915113,0.6396831895421188,0.5890714303716428,1.7763568394002505e-15,0.31196729451604366,0.7875693314542879,1.4439209904238637,0.0,5.243603170495645
