,scaler,mae,rmse,sd,p50,p75,p90,p95,min,max
0,No Scaling,0.2420799827009248,0.7270715502716693,0.6860778044035857,1.7763568394002505e-15,7.479107480824503e-15,0.7710369953924265,1.27574808741272,0.0,8.000000000000007
1,Rescaling,0.2420697841396984,0.6302889630614408,0.5823666352447229,1.7798229048217483e-15,0.3047222412598418,0.7569688207849552,1.2509976061197758,0.0,5.229685303629326
2,Standardization,0.2896666402990788,0.6947455594779616,0.6319296706428783,1.790180836524724e-15,0.34554471732129066,0.9487133683787848,1.5751281585362753,0.0,6.0
