,orientation,mae,rmse,sd,p50,p75,p90,p95,min,max
0,Train: all Test: all,0.21461327183997184,0.5851548521883464,0.5452875139158088,1.7763568394002505e-15,7.105427357601002e-15,0.7838590958644355,1.436718309271429,0.0,4.4141934478132425
1,Train: all Test: left-to-right-point,0.26204195007147213,0.6608935703716359,0.6087568428522492,1.7798229048217483e-15,0.0006214794764209941,0.9299299278548716,1.5802740618064481,0.0,4.4141934478132425
2,Train: all Test: right-to-left-point,0.1671845936084714,0.4980282027361128,0.470699966828497,1.7763568394002505e-15,3.972054645195637e-15,0.5652599190955007,0.9296513753208201,0.0,2.979788522350294
3,Train: left-to-right-point Test: all,0.7895981078622665,1.3623328206230871,1.11202858211107,0.2754585337171662,1.2129156570521444,2.398523744416595,3.3908819777099324,0.0,4.552082987992293
4,Train: left-to-right-point Test: left-to-right-point,0.19220484688167147,0.5864923164717094,0.5559596583629589,1.790180836524724e-15,6.679715121093603e-15,0.6694410657390913,1.256118015348477,0.0,4.552082987992293
5,Train: left-to-right-point Test: right-to-left-point,1.3869913688428626,1.8351915951783784,1.2057676550738314,1.1807058056486819,2.0000000000000013,3.2174191534329366,3.9999999999999973,0.0,4.36278892951497
6,Train: right-to-left-point Test: all,0.8022488338819674,1.5081624162495395,1.2792206091518916,7.105427357601002e-15,1.1661651515367342,2.4226609683873006,3.999999999999993,0.0,6.0000000000000036
7,Train: right-to-left-point Test: left-to-right-point,1.5067446147669996,2.1153254185326857,1.4896698968242899,1.168172128061222,2.0,3.999999999999993,4.035136780787211,0.0,6.0000000000000036
8,Train: right-to-left-point Test: right-to-left-point,0.09775305299693667,0.27295809437497176,0.2557075889663044,1.7763568394002505e-15,3.972054645195637e-15,0.39663518802187636,0.7565764459551136,0.0,1.150003529783607
