Fingerprint ID,coordinate_X,coordinate_Y,00:12:da:9e:32:31,00:15:f9:6c:7d:72,00:15:f9:6c:7d:71,00:15:f9:6c:7d:70,00:12:da:9e:32:30,00:11:21:6c:4e:72,00:11:21:6c:4e:71,00:15:f9:6c:7d:21,00:11:21:6c:50:e2,00:11:21:6c:4e:70,00:11:21:6c:50:e1,00:11:21:6c:50:e0,00:12:da:9e:32:32,00:15:f9:6c:7d:20,00:15:f9:6c:7d:22,00:11:21:66:75:81,00:11:21:66:75:82,00:11:21:66:75:80,00:15:f9:6c:7a:e2,00:15:f9:6c:7a:e1,00:15:f9:6c:7a:e0,00:1b:fc:22:43:4e,00:15:f9:6c:7a:d2,00:15:f9:6c:7a:d1,00:15:f9:6c:7a:d0,00:12:80:17:ac:ae,00:17:df:7d:70:50,88:e3:ab:11:f4:ee,00:17:df:7d:70:51,00:17:df:7d:70:52,00:12:da:9e:31:91,00:0f:60:06:71:2e,00:12:43:f1:c4:41,00:12:43:f1:c4:40,00:12:43:f1:c4:42,bc:14:01:9c:37:08,bc:14:01:9c:37:09,30:8d:99:64:aa:8d,b0:5b:67:c2:a0:16
27,10.25,0.75,-81.0,-72.0,-70.0,-71.0,-80.0,-89.0,-88.0,,,-90.0,,,-81.0,,,-86.0,-86.0,,-55.0,-54.0,-55.0,,-70.0,-70.0,-70.0,,,,,,,,,,,,,,
28,10.25,0.75,-82.0,-69.0,-72.0,-73.0,-79.0,-90.0,-86.0,,,-88.0,,,-83.0,,,-88.0,,,-56.0,-55.0,-55.0,,-71.0,-71.0,-71.0,,,,,,,,,,,,,,
29,10.25,0.75,-80.0,-75.0,-73.0,-74.0,-80.0,-89.0,-88.0,,,-88.0,,,-80.0,,,-86.0,-85.0,-86.0,-57.0,-56.0,-57.0,,-71.0,-71.0,-70.0,,,,,,,,,,,,,,
30,10.25,0.75,-83.0,-68.0,-70.0,-71.0,-83.0,-88.0,-88.0,,,,,,-84.0,,,-86.0,-86.0,-86.0,-67.0,-63.0,-67.0,,-66.0,-67.0,-68.0,,,,,,,,,,,,,,
31,10.25,0.75,-83.0,-72.0,-71.0,-70.0,-80.0,-90.0,-90.0,,,,,,-84.0,,,-87.0,-86.0,-87.0,-56.0,-56.0,-56.0,,-68.0,-68.0,-68.0,,,,,,,,,,,,,,
32,10.25,0.75,-80.0,-70.0,-70.0,-70.0,-80.0,-90.0,-88.0,,,,,,-81.0,,,-85.0,-85.0,-87.0,-55.0,-55.0,-55.0,,-67.0,-68.0,-68.0,,,,,,,,,,,,,,
33,10.25,0.75,-79.0,-73.0,-75.0,-70.0,-79.0,-88.0,-88.0,,,-88.0,,,-80.0,,,-85.0,-85.0,-87.0,-53.0,-54.0,-53.0,,-68.0,-68.0,-68.0,,,,,,,,,,,,,,
34,10.25,0.75,-79.0,-67.0,-67.0,-69.0,-78.0,-88.0,,,,-88.0,,,-78.0,,,,,-87.0,-61.0,-61.0,-61.0,,-69.0,-67.0,-67.0,,,,,,,,,,,,,,
35,10.25,0.75,-80.0,-67.0,-69.0,-70.0,-81.0,-89.0,-88.0,,,,,,-80.0,,,-86.0,-86.0,-86.0,-62.0,-62.0,-62.0,,-68.0,-68.0,-68.0,,,,,,,,,,,,,,
36,10.25,0.75,-80.0,-71.0,-71.0,-71.0,-81.0,-89.0,-88.0,,,,,,-80.0,,,-86.0,-85.0,-86.0,-62.0,-62.0,-62.0,,-68.0,-68.0,-68.0,,,,,,,,,,,,,,
37,10.25,0.75,-81.0,-71.0,-83.0,-71.0,-83.0,,-87.0,,,,,,-81.0,,,-86.0,-88.0,-85.0,-55.0,-54.0,-55.0,,-69.0,-69.0,-69.0,,,,,,,,,,,,,,
38,10.25,0.75,-79.0,-70.0,-70.0,-71.0,-83.0,-90.0,-88.0,,,,,,-80.0,,,-86.0,-84.0,-85.0,-56.0,-55.0,-56.0,,-66.0,-67.0,-66.0,,,,,,,,,,,,,,
39,10.25,0.75,-81.0,-72.0,-71.0,-72.0,,-88.0,-88.0,,,,,,-80.0,,,-86.0,-84.0,,-56.0,-56.0,-56.0,,-67.0,-67.0,-66.0,,,,,,,,,,,,,,
40,12.25,0.75,-77.0,-71.0,-71.0,-71.0,-77.0,-89.0,-89.0,,,,,,-78.0,,,-82.0,-83.0,-82.0,-71.0,-72.0,-72.0,,-75.0,-75.0,-75.0,,,,,,,,,,,,,,
41,12.25,0.75,-74.0,-69.0,-72.0,-68.0,-74.0,-89.0,-88.0,,,-86.0,,,-75.0,,,-83.0,-83.0,-85.0,-53.0,-53.0,-54.0,,-70.0,-71.0,-72.0,,,,,,,,,,,,,,
42,12.25,0.75,-74.0,-70.0,-70.0,-70.0,-74.0,-88.0,-87.0,,,-86.0,,,-74.0,,,-84.0,-84.0,-82.0,-56.0,-56.0,-56.0,,-73.0,-78.0,-73.0,,,,,,,,,,,,,,
43,12.25,0.75,-76.0,-77.0,-76.0,-76.0,-76.0,-88.0,-85.0,,,,,,-76.0,,,-86.0,-84.0,-85.0,-54.0,-54.0,-54.0,,-76.0,-76.0,-76.0,,,,,,,,,,,,,,
44,12.25,0.75,-74.0,-72.0,-70.0,-72.0,-74.0,-85.0,-85.0,,,-88.0,,,-74.0,,,-85.0,-84.0,-85.0,-56.0,-56.0,-56.0,,-77.0,-76.0,-76.0,,,,,,,,,,,,,,
45,12.25,0.75,-75.0,-75.0,-76.0,-75.0,-75.0,-87.0,-88.0,,,-88.0,,,-75.0,,,-84.0,-85.0,-85.0,-58.0,-56.0,-59.0,,-76.0,-76.0,-75.0,,,,,,,,,,,,,,
46,12.25,0.75,-74.0,-71.0,-78.0,-72.0,-74.0,-87.0,-87.0,,,,,,-74.0,,,-86.0,-85.0,-85.0,-56.0,-55.0,-55.0,,-78.0,-76.0,-80.0,,,,,,,,,,,,,,
47,12.25,0.75,-74.0,-73.0,-72.0,-81.0,-73.0,-85.0,-88.0,,,,,,-74.0,,,-87.0,-85.0,-87.0,-55.0,-55.0,-55.0,,-76.0,-77.0,-75.0,,,,,,,,,,,,,,
48,12.25,0.75,-74.0,-69.0,-70.0,-69.0,-74.0,-88.0,-88.0,,,,,,-74.0,,,-86.0,-86.0,-85.0,-58.0,-58.0,-58.0,,-76.0,-76.0,-76.0,,,,,,,,,,,,,,
49,12.25,0.75,-74.0,-71.0,-71.0,-71.0,-74.0,-88.0,-88.0,,,,,,-74.0,,,-86.0,-85.0,-84.0,-54.0,-55.0,-55.0,,-75.0,-75.0,-75.0,-90.0,,,,,,,,,,,,,
50,12.25,0.75,-73.0,-72.0,-71.0,-71.0,-73.0,-88.0,-90.0,,,,,,-74.0,,,-83.0,-86.0,-84.0,-54.0,-54.0,-54.0,,-81.0,-81.0,-81.0,-90.0,,,,,,,,,,,,,
