Fingerprint ID,coordinate_X,coordinate_Y,00:12:da:9e:32:31,00:15:f9:6c:7d:72,00:15:f9:6c:7d:71,00:15:f9:6c:7d:70,00:12:da:9e:32:30,00:11:21:6c:4e:72,00:11:21:6c:4e:71,00:15:f9:6c:7d:21,00:11:21:6c:50:e2,00:11:21:6c:4e:70,00:11:21:6c:50:e1,00:11:21:6c:50:e0,00:12:da:9e:32:32,00:15:f9:6c:7d:20,00:15:f9:6c:7d:22,00:11:21:66:75:81,00:11:21:66:75:82,00:11:21:66:75:80,00:15:f9:6c:7a:e2,00:15:f9:6c:7a:e1,00:15:f9:6c:7a:e0,00:1b:fc:22:43:4e,00:15:f9:6c:7a:d2,00:15:f9:6c:7a:d1,00:15:f9:6c:7a:d0,00:12:80:17:ac:ae,00:17:df:7d:70:50,88:e3:ab:11:f4:ee,00:17:df:7d:70:51,00:17:df:7d:70:52,00:12:da:9e:31:91,00:0f:60:06:71:2e,00:12:43:f1:c4:41,00:12:43:f1:c4:40,00:12:43:f1:c4:42,bc:14:01:9c:37:08,bc:14:01:9c:37:09,30:8d:99:64:aa:8d,b0:5b:67:c2:a0:16
90,13.75,11.25,-69.0,-47.0,-46.0,-47.0,-69.0,-76.0,-74.0,-81.0,-82.0,-74.0,-83.0,-83.0,-69.0,-81.0,-88.0,-79.0,-78.0,-77.0,-77.0,-77.0,-77.0,,-87.0,-88.0,,,,,,,,,,,,,,,
91,13.75,11.25,-69.0,-47.0,-46.0,-46.0,-69.0,-75.0,-74.0,-82.0,-78.0,-75.0,-78.0,-80.0,-72.0,-82.0,-88.0,-79.0,-78.0,-79.0,-77.0,-76.0,-77.0,,,-88.0,-89.0,,,,,,,,,,,,,,
92,13.75,11.25,-69.0,-46.0,-46.0,-46.0,-70.0,-91.0,-74.0,-82.0,-79.0,-74.0,-77.0,-75.0,-69.0,-82.0,,-79.0,-79.0,-88.0,-76.0,-76.0,-77.0,,,-88.0,-89.0,,,,,,,,,,,,,,
93,13.75,11.25,-69.0,-46.0,-47.0,-46.0,-69.0,-74.0,-74.0,-79.0,-82.0,-74.0,-79.0,-83.0,-69.0,-80.0,-81.0,-79.0,-79.0,-79.0,-76.0,-76.0,-77.0,,,-88.0,,,,,,,,,,,,,,,
94,13.75,11.25,-69.0,-46.0,-46.0,-46.0,-71.0,-74.0,-74.0,-80.0,-77.0,-76.0,-79.0,-83.0,-69.0,-80.0,-80.0,-79.0,-79.0,-79.0,-76.0,-76.0,-77.0,,-88.0,-88.0,-88.0,,,,,,,,,,,,,,
95,13.75,11.25,-69.0,-47.0,-46.0,-46.0,-70.0,-75.0,-75.0,-81.0,-81.0,-75.0,-77.0,-80.0,-69.0,-87.0,-81.0,-78.0,-78.0,-79.0,-77.0,-77.0,-77.0,,-88.0,,-88.0,,,,,,,,,,,,,,
96,13.75,11.25,-67.0,-46.0,-46.0,-46.0,-68.0,-73.0,-73.0,-80.0,-76.0,-73.0,-80.0,-81.0,-67.0,-81.0,-81.0,-78.0,-78.0,-79.0,-76.0,-76.0,-76.0,,-90.0,,-86.0,,,,,,,,,,,,,,
97,13.75,11.25,-70.0,-48.0,-49.0,-48.0,-70.0,-75.0,-75.0,-82.0,-78.0,-76.0,-80.0,-79.0,-69.0,-81.0,-81.0,-78.0,-78.0,-78.0,-77.0,-77.0,-77.0,,-90.0,,-86.0,,,,,,,,,,,,,,
98,13.75,11.25,-69.0,-46.0,-47.0,-47.0,-70.0,-74.0,-74.0,-87.0,-79.0,-74.0,-80.0,-78.0,-69.0,-82.0,-89.0,-77.0,-78.0,-77.0,-77.0,-77.0,-77.0,,,,,,,,,,,,,,,,,,
99,13.75,11.25,-69.0,-46.0,-46.0,-46.0,-69.0,-74.0,-74.0,-80.0,-79.0,-75.0,-84.0,-81.0,-69.0,-81.0,-82.0,-79.0,-78.0,-79.0,-79.0,-78.0,-79.0,,-88.0,,,,,,,,,,,,,,,,
100,13.75,3.25,-69.0,-51.0,-50.0,-51.0,-69.0,-85.0,-83.0,-84.0,,-88.0,,,-69.0,-84.0,-84.0,-75.0,-74.0,-74.0,-72.0,-72.0,-72.0,,-80.0,,-81.0,,,,,,,,,,,,,,
101,13.75,3.25,-66.0,-54.0,-55.0,-54.0,-66.0,-85.0,-82.0,-85.0,,-81.0,,,-66.0,-84.0,-84.0,-77.0,-74.0,-78.0,-72.0,-70.0,-71.0,,-85.0,-83.0,-85.0,,,,,,,,,,,,,,
102,13.75,3.25,-69.0,-53.0,-53.0,-53.0,-70.0,-79.0,-80.0,-84.0,,-81.0,,,-69.0,-83.0,-83.0,-78.0,-78.0,-79.0,-71.0,-70.0,-71.0,,-85.0,-83.0,-85.0,,,,,,,,,,,,,,
103,13.75,3.25,-67.0,-52.0,-52.0,-52.0,-67.0,-85.0,-77.0,-84.0,,-79.0,,,-67.0,-84.0,-84.0,-78.0,-79.0,-79.0,-68.0,-69.0,-69.0,,,,,,,,,,,,,,,,,,
104,13.75,3.25,-69.0,-52.0,-53.0,-53.0,-70.0,-84.0,-86.0,-84.0,,-80.0,,,-69.0,-83.0,-84.0,-78.0,-79.0,,-72.0,-72.0,-72.0,,,,,,,,,,,,,,,,,,
105,13.75,3.25,-67.0,-53.0,-53.0,-53.0,-67.0,-81.0,-80.0,-85.0,,-80.0,,,-70.0,-83.0,-83.0,-78.0,-78.0,-78.0,-67.0,-67.0,-67.0,,-88.0,,,,,,,,,,,,,,,,
106,13.75,3.25,-66.0,-54.0,-55.0,-55.0,-67.0,-81.0,-80.0,-83.0,,,,,-67.0,-84.0,-83.0,,-87.0,-78.0,-69.0,-69.0,-69.0,,-88.0,,,,,,,,,,,,,,,,
107,13.75,3.25,-70.0,-54.0,-53.0,-53.0,-71.0,-80.0,-81.0,-86.0,,-81.0,,,-71.0,-84.0,-85.0,,-77.0,-78.0,-72.0,-73.0,-73.0,,-89.0,,-78.0,,,,,,,,,,,,,,
108,13.75,3.25,-69.0,-50.0,-50.0,-50.0,-69.0,-84.0,-81.0,-83.0,,-81.0,,,-81.0,-83.0,-82.0,-79.0,-79.0,-78.0,-76.0,-76.0,-75.0,,-83.0,,-78.0,,,,,,,,,,,,,,
109,13.75,3.25,-66.0,-54.0,-54.0,-53.0,-67.0,-84.0,-84.0,-83.0,,-85.0,,,-66.0,-83.0,-88.0,-77.0,-78.0,-78.0,-69.0,-69.0,-69.0,,-81.0,,-80.0,,,,,,,,,,,,,,
110,13.75,3.25,-66.0,-50.0,-50.0,-50.0,-67.0,-81.0,-81.0,-82.0,,-85.0,,,-70.0,-84.0,-83.0,-78.0,-78.0,-78.0,-71.0,-70.0,-69.0,,-83.0,,-84.0,,,,,,,,,,,,,,
111,13.75,3.25,-67.0,-52.0,-53.0,-52.0,-66.0,-79.0,-80.0,-84.0,,-85.0,,,-66.0,-84.0,-82.0,-77.0,-76.0,-77.0,-71.0,-71.0,-71.0,,-84.0,,-84.0,,,,,,,,,,,,,,
112,13.75,3.25,-66.0,-50.0,-50.0,-51.0,-66.0,-87.0,-80.0,-82.0,,-85.0,,,-66.0,-83.0,-83.0,-77.0,-76.0,-77.0,-68.0,-68.0,-68.0,,-83.0,,-84.0,,,,,,,,,,,,,,
113,13.75,3.25,-66.0,-50.0,-51.0,-51.0,-66.0,-78.0,-77.0,-82.0,,,,,-66.0,-84.0,-83.0,-76.0,-76.0,-77.0,-73.0,-69.0,-72.0,,-83.0,,,,,,,,,,,,,,,,
114,13.75,3.25,-64.0,-51.0,-51.0,-51.0,-64.0,-79.0,-77.0,-81.0,,,,,-64.0,-82.0,-83.0,-77.0,-77.0,-76.0,-70.0,-66.0,-70.0,,-83.0,,-82.0,,,,,,,,,,,,,,
115,13.75,3.25,-67.0,-51.0,-51.0,-51.0,-67.0,-79.0,-78.0,-85.0,,-79.0,,,-67.0,-83.0,-84.0,-84.0,-79.0,-78.0,-66.0,-66.0,-67.0,,-81.0,-82.0,-82.0,,,,,,,,,,,,,,
116,13.75,3.25,-67.0,-52.0,-52.0,-52.0,-69.0,-79.0,-78.0,-81.0,,-79.0,,,-67.0,-82.0,-84.0,-84.0,-77.0,-77.0,-66.0,-66.0,-66.0,,-81.0,-82.0,-81.0,,,,,,,,,,,,,,
117,13.75,3.25,-66.0,-52.0,-52.0,-52.0,-66.0,-85.0,-77.0,-82.0,,-79.0,,,-66.0,-83.0,-82.0,-77.0,-78.0,-76.0,-68.0,-68.0,-68.0,,-81.0,,-81.0,,,,,,,,,,,,,,
118,13.75,3.25,-67.0,-51.0,-51.0,-51.0,-67.0,-84.0,-80.0,-83.0,,-80.0,,,-67.0,-82.0,-81.0,-77.0,-78.0,-78.0,-74.0,-72.0,-74.0,,-81.0,,,,,,,,,,,,,,,,
119,13.75,3.25,-70.0,-52.0,-52.0,-53.0,-70.0,-81.0,-80.0,-83.0,,-80.0,,,-70.0,-83.0,-83.0,-77.0,-77.0,-78.0,-68.0,-68.0,-68.0,,-82.0,,-83.0,,,,,,,,,,,,,,
120,13.75,5.25,-66.0,-51.0,-51.0,-51.0,-66.0,-79.0,-78.0,,-89.0,-80.0,-88.0,,-65.0,-87.0,-88.0,-79.0,-80.0,-77.0,-80.0,-80.0,-80.0,,-86.0,-88.0,,,,,,,,,,,,,,,
121,13.75,5.25,-65.0,-49.0,-50.0,-49.0,-65.0,-78.0,,-86.0,-89.0,-80.0,-88.0,,-65.0,-85.0,-85.0,-80.0,-79.0,-77.0,-80.0,-79.0,-81.0,,-81.0,,,,,,,,,,,,,,,,
122,13.75,5.25,-69.0,-50.0,-49.0,-50.0,-70.0,-77.0,-81.0,-86.0,,,,,-69.0,-85.0,-86.0,-77.0,-78.0,-78.0,-75.0,-76.0,-76.0,,-82.0,-86.0,,,,,,,,,,,,,,,
123,13.75,5.25,-68.0,-49.0,-49.0,-50.0,-68.0,-80.0,-82.0,-86.0,-87.0,-80.0,,-89.0,-68.0,,-86.0,-77.0,-78.0,-78.0,-82.0,-78.0,-82.0,,-82.0,-84.0,,,,,,,,,,,,,,,
124,13.75,5.25,-67.0,-50.0,-49.0,-50.0,-67.0,-80.0,-81.0,-86.0,-87.0,-80.0,,-89.0,-67.0,-88.0,-86.0,-81.0,-82.0,-77.0,-81.0,-79.0,-81.0,,,-84.0,-83.0,,,,,,,,,,,,,,
125,13.75,5.25,-67.0,-50.0,-64.0,-64.0,-67.0,-80.0,-79.0,-87.0,,-80.0,,,-67.0,-88.0,-89.0,-81.0,-76.0,-77.0,-80.0,-80.0,-79.0,,-86.0,-86.0,-83.0,,,,,,,,,,,,,,
126,13.75,5.25,-68.0,-50.0,-50.0,-50.0,-68.0,-81.0,-79.0,-87.0,,-84.0,,,-69.0,-86.0,-88.0,-81.0,-82.0,-82.0,-78.0,-76.0,-79.0,,-78.0,-86.0,,,,,,,,,,,,,,,
127,13.75,5.25,-68.0,-49.0,-50.0,-50.0,-69.0,-79.0,-79.0,-87.0,,-84.0,,-88.0,-68.0,-86.0,-85.0,-82.0,-81.0,-82.0,-82.0,-81.0,-80.0,,-88.0,,,,,,,,,-83.0,,,,,,,
128,13.75,5.25,-67.0,-50.0,-49.0,-50.0,-67.0,-79.0,-79.0,-84.0,-84.0,-80.0,,-89.0,-67.0,-86.0,-85.0,-81.0,-80.0,,-73.0,-73.0,-73.0,,-83.0,-81.0,,,,,,,,-73.0,,,,,,,
129,13.75,5.25,-68.0,-49.0,-50.0,-50.0,-69.0,-80.0,-80.0,-84.0,-89.0,-80.0,,-89.0,-68.0,-88.0,-88.0,-80.0,-80.0,-81.0,-79.0,-78.0,-79.0,,-83.0,-81.0,,,,,,,,-69.0,,,,,,,
130,13.75,5.25,-68.0,-49.0,-49.0,-50.0,-68.0,-79.0,-81.0,-86.0,-89.0,-81.0,,-88.0,-67.0,-88.0,-87.0,-79.0,-80.0,-80.0,-77.0,-76.0,-77.0,,,,,,,,,,,-62.0,,,,,,,
131,13.75,5.25,-70.0,-64.0,-64.0,-64.0,-68.0,-84.0,-81.0,-86.0,-90.0,-81.0,,-88.0,-69.0,-85.0,-87.0,-81.0,-78.0,-81.0,-76.0,-76.0,-76.0,,,,,,,,,,,-68.0,,,,,,,
132,13.75,5.25,-68.0,-50.0,-50.0,-50.0,-68.0,-84.0,,-85.0,-90.0,-83.0,,,-67.0,-85.0,,-81.0,-81.0,-81.0,-77.0,-77.0,-77.0,,,-80.0,,,,,,,,-54.0,,,,,,,
133,13.75,5.25,-64.0,-50.0,-49.0,-50.0,-65.0,-80.0,-82.0,-85.0,-88.0,-83.0,-88.0,,-64.0,,-87.0,-78.0,-81.0,-79.0,-74.0,-74.0,-74.0,,,-80.0,,,,,,,,-51.0,,,,,,,
134,13.75,5.25,-65.0,-47.0,-47.0,-47.0,-66.0,-77.0,-76.0,,-87.0,-77.0,-87.0,,-65.0,,-87.0,-78.0,-76.0,-82.0,-75.0,-75.0,-76.0,,-88.0,,-81.0,,,,,,,-37.0,,,,,,,
135,13.75,5.25,-62.0,-53.0,-53.0,-52.0,-60.0,-85.0,-76.0,,-87.0,-77.0,-87.0,,-62.0,-88.0,-86.0,-80.0,-79.0,-80.0,-73.0,-72.0,-72.0,,-88.0,,-79.0,,,,,,,-63.0,,,,,,,
136,13.75,5.25,-69.0,-48.0,-48.0,-48.0,-69.0,-78.0,-78.0,-84.0,,-79.0,-88.0,-88.0,-70.0,-84.0,-84.0,-77.0,-79.0,-77.0,-76.0,-77.0,-76.0,,-84.0,-84.0,-79.0,,,,,,,-72.0,,,,,,,
137,13.75,5.25,-69.0,-50.0,-50.0,-50.0,-68.0,-78.0,-78.0,-84.0,-88.0,-80.0,-87.0,-88.0,-68.0,-88.0,-84.0,-79.0,-78.0,-77.0,-78.0,-79.0,-77.0,,-84.0,-84.0,,,,,,,,-69.0,,,,,,,
138,13.75,5.25,-66.0,-50.0,-50.0,-65.0,-68.0,-80.0,-81.0,,-88.0,-80.0,-87.0,-88.0,-68.0,-87.0,-88.0,-80.0,-80.0,-80.0,-75.0,-75.0,-76.0,,-84.0,,,,,,,,,-75.0,,,,,,,
139,13.75,5.25,-67.0,-48.0,-49.0,-49.0,-67.0,-82.0,-81.0,,,-80.0,-87.0,,-67.0,-87.0,-88.0,-81.0,-81.0,-80.0,-79.0,-77.0,-79.0,,,,,,,,,,,-75.0,,,,,,,
140,13.75,7.25,-62.0,-46.0,-46.0,-47.0,-62.0,-83.0,-81.0,-86.0,-90.0,-81.0,-89.0,-90.0,-62.0,-86.0,-86.0,-76.0,-74.0,-76.0,-83.0,-80.0,-82.0,,,,,,,,,,,-77.0,,,,,,,
141,13.75,7.25,-67.0,-51.0,-51.0,-50.0,-68.0,-83.0,-81.0,-84.0,-83.0,-81.0,,-90.0,-62.0,-84.0,-84.0,-79.0,-79.0,-79.0,-81.0,-81.0,-80.0,,-88.0,-86.0,,,,,,,,-77.0,,,,,,,
142,13.75,7.25,-62.0,-51.0,-50.0,-51.0,-61.0,-78.0,-78.0,-84.0,-83.0,-79.0,-92.0,,-73.0,-83.0,-82.0,-78.0,-77.0,-78.0,-80.0,-81.0,-81.0,,-87.0,-86.0,-88.0,,,,,,,-74.0,,,,,,,
143,13.75,7.25,-69.0,-50.0,-49.0,-49.0,-70.0,-78.0,-78.0,-83.0,,-77.0,-92.0,,-70.0,-83.0,-84.0,-79.0,-78.0,-79.0,-82.0,-82.0,-81.0,,-87.0,-87.0,-88.0,,,,,,,-72.0,,,,,,,
144,13.75,7.25,-70.0,-49.0,-49.0,-49.0,-62.0,-77.0,-78.0,-84.0,-88.0,-77.0,-88.0,-87.0,-69.0,-84.0,-83.0,-79.0,-79.0,-77.0,-81.0,-80.0,-81.0,,-85.0,-87.0,,,,,,,,-71.0,,,,,,,
145,13.75,7.25,-62.0,-49.0,-49.0,-50.0,-62.0,-77.0,-79.0,-84.0,-82.0,-79.0,-88.0,-89.0,-62.0,-84.0,-84.0,-77.0,-78.0,-77.0,-81.0,-81.0,-81.0,,-87.0,-87.0,,,,,,,,-71.0,,,,,,,
146,13.75,7.25,-70.0,-49.0,-49.0,-49.0,-71.0,-77.0,-78.0,-83.0,-82.0,-78.0,,-89.0,-71.0,-85.0,-83.0,-79.0,-79.0,-79.0,-80.0,-80.0,-81.0,,-85.0,-85.0,-85.0,,,,,,,-77.0,,,,,,,
147,13.75,7.25,-68.0,-50.0,-50.0,-51.0,-61.0,-78.0,-77.0,-85.0,,-76.0,-89.0,-91.0,-67.0,-83.0,-83.0,-77.0,-77.0,-78.0,-81.0,-81.0,-82.0,,-85.0,-85.0,-85.0,,,,,,,-77.0,,,,,,,
148,13.75,7.25,-72.0,-49.0,-49.0,-49.0,-73.0,-77.0,-77.0,-84.0,,-76.0,-89.0,-91.0,-61.0,-83.0,-84.0,-77.0,-77.0,-77.0,-81.0,-81.0,-81.0,,-86.0,,,,,,,,,-75.0,,,,,,,
149,13.75,7.25,-62.0,-49.0,-49.0,-49.0,-69.0,-78.0,-77.0,-85.0,,-77.0,,,-62.0,-85.0,-83.0,-78.0,-79.0,-78.0,-81.0,-81.0,-81.0,,-86.0,-85.0,,,,,,,,-75.0,,,,,,,
150,13.75,7.25,-70.0,-49.0,-49.0,-50.0,-70.0,-77.0,-77.0,-83.0,-89.0,-77.0,-82.0,,-62.0,-84.0,-85.0,-79.0,-79.0,-79.0,-80.0,-80.0,-80.0,,-85.0,-85.0,,,,,,,,-77.0,,,,,,,
151,13.75,7.25,-71.0,-51.0,-49.0,-49.0,-72.0,-76.0,-77.0,-86.0,-89.0,-77.0,-89.0,,-72.0,-84.0,-85.0,-76.0,-78.0,-79.0,-78.0,-79.0,-78.0,,-86.0,,-87.0,,,,,,,-77.0,,,,,,,
152,13.75,7.25,-61.0,-50.0,-49.0,-50.0,-62.0,-77.0,-77.0,-85.0,-89.0,-78.0,-89.0,,-69.0,-83.0,-84.0,-78.0,-78.0,-78.0,-82.0,-81.0,-82.0,,-86.0,,-87.0,,,,,,,-75.0,,,,,,,
153,13.75,7.25,-69.0,-50.0,-50.0,-50.0,-69.0,-78.0,-78.0,-85.0,,-78.0,-83.0,,-70.0,-85.0,-87.0,-79.0,-78.0,-77.0,-81.0,-80.0,-81.0,,-86.0,-85.0,,,,,,,,-78.0,,,,,,,
154,13.75,7.25,-69.0,-49.0,-50.0,-49.0,-70.0,-78.0,-78.0,-83.0,-88.0,-77.0,-83.0,,-69.0,-83.0,-83.0,-79.0,-78.0,-77.0,-78.0,-78.0,-79.0,,-86.0,-85.0,,,,,,,,-75.0,,,,,,,
155,13.75,7.25,-63.0,-49.0,-49.0,-49.0,-68.0,-77.0,-78.0,-83.0,-88.0,-77.0,,,-62.0,-83.0,-83.0,-79.0,-78.0,-79.0,-80.0,-80.0,-80.0,,-86.0,-85.0,,,,,,,,-75.0,,,,,,,
156,13.75,7.25,-70.0,-49.0,-50.0,-49.0,-61.0,-78.0,-78.0,-83.0,,-77.0,,-89.0,-62.0,-83.0,-84.0,-79.0,-79.0,-78.0,-83.0,-83.0,-82.0,,-86.0,,,,,,,,,-77.0,,,,,,,
157,13.75,7.25,-62.0,-50.0,-49.0,-50.0,-62.0,-77.0,-78.0,-83.0,-88.0,-78.0,-87.0,-89.0,-69.0,-82.0,-85.0,-79.0,-78.0,-77.0,-84.0,-83.0,-84.0,,-85.0,,,,,,,,,-75.0,,,,,,,
158,13.75,7.25,-69.0,-50.0,-49.0,-49.0,-69.0,-77.0,-77.0,-84.0,-88.0,-80.0,-87.0,,-69.0,-84.0,-85.0,-78.0,-78.0,-78.0,-80.0,-80.0,-79.0,,-84.0,,,,,,,,,-72.0,,,,,,,
159,13.75,7.25,-62.0,-53.0,-55.0,-55.0,-62.0,-80.0,-80.0,-83.0,-82.0,-80.0,-87.0,,-63.0,-83.0,-83.0,-84.0,-78.0,-78.0,-83.0,-83.0,-84.0,,-84.0,,,,,,,,,-75.0,,,,,,,
160,13.75,9.25,-53.0,-59.0,-59.0,-55.0,-53.0,-81.0,-82.0,-87.0,-90.0,-82.0,-89.0,-89.0,-53.0,-85.0,-85.0,-82.0,-80.0,-82.0,-83.0,-85.0,-84.0,,-90.0,-89.0,,,,,,,,,,,,,,,
161,13.75,9.25,-54.0,-50.0,-50.0,-50.0,-55.0,-86.0,-86.0,-82.0,-90.0,-85.0,-88.0,-89.0,-55.0,-82.0,-82.0,-82.0,-80.0,-82.0,-79.0,-79.0,-79.0,,-90.0,-89.0,,,,,,,,,,,,,,,
162,13.75,9.25,-54.0,-52.0,-52.0,-51.0,-54.0,-83.0,-83.0,-85.0,-88.0,-83.0,-87.0,-88.0,-54.0,-84.0,-83.0,-79.0,-81.0,-81.0,-81.0,-80.0,-82.0,,,,,,,,,,,,,,,,,,
163,13.75,9.25,-53.0,-56.0,-56.0,-56.0,-53.0,-82.0,-82.0,-82.0,-88.0,-83.0,-89.0,-89.0,-53.0,-82.0,-82.0,-82.0,-79.0,-79.0,-81.0,-80.0,-82.0,,,,-89.0,,,,,,,,,,,,,,
164,13.75,9.25,-53.0,-50.0,-50.0,-50.0,-53.0,-85.0,-84.0,-81.0,-89.0,-83.0,-89.0,-88.0,-53.0,-82.0,-83.0,-79.0,-79.0,-79.0,-79.0,-79.0,-80.0,,,,-89.0,,,,,,,,,,,,,,
165,13.75,9.25,-54.0,-62.0,-62.0,-62.0,-55.0,-83.0,-84.0,-86.0,-86.0,-83.0,-87.0,-88.0,-54.0,-86.0,-84.0,-83.0,-83.0,-83.0,-79.0,-79.0,-79.0,,-87.0,,,,,,,,,,,,,,,,
166,13.75,9.25,-54.0,-63.0,-63.0,-58.0,-54.0,-83.0,-83.0,-86.0,-88.0,-84.0,-87.0,-87.0,-54.0,-83.0,-85.0,-83.0,-82.0,-83.0,-80.0,-80.0,-81.0,,-88.0,-87.0,,,,,,,,,,,,,,,
167,13.75,9.25,-54.0,-60.0,-59.0,-59.0,-54.0,-83.0,-84.0,-83.0,-90.0,-84.0,-90.0,-89.0,-54.0,-84.0,-83.0,-83.0,-81.0,-81.0,-80.0,-81.0,-81.0,,-88.0,-87.0,,,,,,,,,,,,,,,
168,13.75,9.25,-53.0,-55.0,-54.0,-55.0,-54.0,-85.0,-83.0,-86.0,-90.0,-83.0,-90.0,-89.0,-54.0,-85.0,-86.0,,-81.0,-82.0,-80.0,-80.0,-79.0,,,,,,,,,,,,,,,,,,
169,13.75,9.25,-54.0,-52.0,-52.0,-52.0,-54.0,-82.0,-85.0,-86.0,-87.0,-85.0,-88.0,-89.0,-54.0,-83.0,-84.0,-80.0,-81.0,-80.0,-83.0,-84.0,-83.0,,,-88.0,,,,,,,,,,,,,,,
170,13.75,9.25,-55.0,-53.0,-53.0,-53.0,-58.0,-83.0,-83.0,-83.0,-87.0,-85.0,-88.0,-87.0,-59.0,-83.0,-86.0,-79.0,-81.0,-80.0,-80.0,-79.0,-79.0,,,-88.0,,,,,,,,,,,,,,,
171,13.75,9.25,-54.0,-52.0,-53.0,-53.0,-54.0,-85.0,-84.0,-83.0,-88.0,-84.0,-88.0,-88.0,-54.0,-86.0,-84.0,-79.0,-81.0,-80.0,-83.0,-82.0,-83.0,,-86.0,,,,,,,,,,,,,,,,
172,13.75,9.25,-54.0,-52.0,-52.0,-52.0,-55.0,-83.0,-84.0,-83.0,-88.0,-84.0,-88.0,-88.0,-55.0,-85.0,-83.0,-82.0,-81.0,-81.0,-82.0,-82.0,-83.0,,-86.0,,-87.0,,,,,,,,,,,,,,
173,13.75,9.25,-54.0,-53.0,-54.0,-53.0,-54.0,-83.0,-83.0,-84.0,-89.0,-85.0,-88.0,,-54.0,-83.0,-82.0,-83.0,-83.0,-82.0,-84.0,-81.0,-83.0,,,,-87.0,,,,,,,,,,,,,,
174,13.75,9.25,-54.0,-52.0,-53.0,-53.0,-54.0,-83.0,-83.0,-83.0,-90.0,-85.0,-88.0,-85.0,-54.0,-83.0,-84.0,-79.0,-79.0,-80.0,-83.0,-81.0,-81.0,,,-90.0,,,,,,,,,,,,,,,
175,13.75,9.25,-54.0,-51.0,-51.0,-53.0,-54.0,-85.0,-84.0,-84.0,-87.0,,-89.0,-88.0,-54.0,-83.0,-83.0,-81.0,-80.0,-80.0,-84.0,-82.0,-83.0,,-85.0,-90.0,-88.0,,,,,,,,,,,,,,
176,13.75,9.25,-55.0,-55.0,-56.0,-55.0,-54.0,-84.0,-84.0,-86.0,-87.0,,-86.0,-88.0,-54.0,-85.0,-86.0,-80.0,-81.0,-81.0,-83.0,-82.0,-83.0,,-85.0,,-88.0,,,,,,,,,,,,,,
177,13.75,9.25,-53.0,-54.0,-53.0,-53.0,-53.0,-84.0,-84.0,-84.0,-90.0,-83.0,-86.0,-90.0,-54.0,-85.0,-85.0,-79.0,-79.0,-79.0,-81.0,-83.0,-83.0,,,,-90.0,,,,,,,,,,,,,,
178,13.75,9.25,-54.0,-52.0,-52.0,-51.0,-53.0,-83.0,-82.0,-82.0,-86.0,-83.0,-86.0,-87.0,-53.0,-84.0,-83.0,-84.0,-83.0,-82.0,-83.0,-84.0,-82.0,,,,-90.0,,,,,,,,,,,,,,
179,13.75,9.25,-53.0,-54.0,-52.0,-54.0,-54.0,-83.0,-83.0,-85.0,-85.0,-85.0,,-89.0,-53.0,-85.0,-84.0,-78.0,-78.0,-80.0,-81.0,-81.0,-82.0,,-83.0,,,,,,,,,,,,,,,,
180,15.75,11.25,-62.0,-48.0,-48.0,-48.0,-62.0,-76.0,-75.0,-74.0,-76.0,-76.0,-77.0,-81.0,-70.0,-74.0,-74.0,-84.0,-82.0,-81.0,-85.0,-84.0,-85.0,,,-89.0,,,,,,,,,,,,,,,
181,15.75,11.25,-62.0,-55.0,-55.0,-55.0,-62.0,-63.0,-63.0,-76.0,-76.0,-63.0,-76.0,-75.0,-62.0,-74.0,-75.0,-84.0,-82.0,-81.0,-84.0,-80.0,-82.0,,,-89.0,,,,,,,,,,,,,,,
182,15.75,11.25,-64.0,-46.0,-46.0,-46.0,-69.0,-72.0,-72.0,-76.0,-76.0,-74.0,-76.0,-76.0,-68.0,-75.0,-75.0,-80.0,-80.0,,-83.0,-83.0,-84.0,,,,,,,,,,,,,,,,,,
183,15.75,11.25,-71.0,-46.0,-46.0,-46.0,-72.0,-61.0,-72.0,-76.0,-73.0,-71.0,-76.0,-76.0,-65.0,-77.0,-76.0,-82.0,-80.0,,-82.0,-85.0,-84.0,,,,,,,,,,,,,,,,,,
184,15.75,11.25,-61.0,-52.0,-53.0,-52.0,-57.0,-61.0,-61.0,-76.0,-78.0,-62.0,-76.0,-75.0,-61.0,-77.0,-77.0,-80.0,-80.0,-86.0,-83.0,-82.0,-83.0,,,,,,,,,,,,,,,,,,
185,15.75,11.25,-58.0,-54.0,-43.0,-55.0,-60.0,-62.0,-62.0,-76.0,-80.0,-62.0,-76.0,-76.0,-64.0,-75.0,-77.0,-81.0,,-81.0,-83.0,-83.0,-82.0,,,,,,,,,,,,,,,,,,
186,15.75,11.25,-63.0,-49.0,-49.0,-50.0,-69.0,-74.0,-74.0,-75.0,-75.0,-61.0,-77.0,-75.0,-63.0,-75.0,-75.0,-81.0,-80.0,-80.0,-83.0,-83.0,-82.0,,,,,,,,,,,,,,,,,,
187,15.75,11.25,-67.0,-48.0,-47.0,-47.0,-68.0,-62.0,-62.0,-78.0,-77.0,-62.0,-77.0,-77.0,-67.0,-78.0,-76.0,,-82.0,-80.0,-82.0,-83.0,-83.0,,,,,,,,,,,,,,,,,,
188,15.75,11.25,-67.0,-48.0,-48.0,-48.0,-68.0,-61.0,-61.0,-76.0,-76.0,-60.0,-77.0,-77.0,-68.0,-75.0,-75.0,-83.0,-82.0,-82.0,-82.0,-81.0,-82.0,,,,,,,,,,,,,,,,,,
