,filename,place,floor,x,y,orientation,sample_id,timestamp,00:15:f9:6c:7a:e1,00:15:f9:6c:7a:e0,00:15:f9:6c:7a:e2,00:15:f9:6c:7a:d2,00:15:f9:6c:7a:d1,00:15:f9:6c:7a:d0,00:15:f9:6c:7d:72,00:15:f9:6c:7d:70,00:15:f9:6c:7d:71,00:12:da:9e:32:31,00:12:da:9e:32:30,00:12:da:9e:32:32,00:17:df:7d:70:51,00:17:df:7d:70:50,00:17:df:7d:70:52,88:e3:ab:11:f4:ee,00:11:21:66:75:80,00:11:21:66:75:82,00:11:21:66:75:81,00:11:21:6c:4e:71,00:11:21:6c:4e:72,00:11:21:6c:4e:70,00:12:80:17:ac:ae,00:15:f9:6c:7d:21,00:11:21:6c:50:e0,00:11:21:6c:50:e1,00:11:21:6c:50:e2,00:12:da:9e:31:91,00:15:f9:6c:7d:22,00:15:f9:6c:7d:20,00:0f:60:06:71:2e,00:1b:fc:22:43:4e,00:12:43:f1:c4:41,00:12:43:f1:c4:40,00:12:43:f1:c4:42,bc:14:01:9c:37:08,bc:14:01:9c:37:09,30:8d:99:64:aa:8d,b0:5b:67:c2:a0:16
22,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,2,1.46187E+12,-58,-58,-58,-72,-72,-70,-71,-69,-71,-82,-81,-81,,,,,-87,-87,-89,-88,-88,,,,,,,,,,,,,,,,,,
23,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,3,1.46187E+12,-58,-57,-58,-70,-70,-70,-72,-73,-72,-81,-81,-82,,,,,-87,-87,-89,-88,-88,,,,,,,,,,,,,,,,,,
24,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,4,1.46187E+12,-62,-63,-62,-68,-68,-69,-72,-73,-72,-79,-81,-79,,,,,-86,-87,-87,-89,-90,,,,,,,,,,,,,,,,,,
25,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,5,1.46187E+12,-53,-53,-53,-70,-70,-70,-70,-72,-72,-82,-80,-82,,,,,-86,-86,-87,-89,-90,,,,,,,,,,,,,,,,,,
26,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,6,1.46187E+12,-54,-54,-55,-71,-70,-70,-72,-72,-72,-80,-80,-80,,,,,,-86,-86,,,-90,,,,,,,,,,,,,,,,,
27,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,7,1.46187E+12,-54,-55,-55,-70,-70,-70,-72,-71,-70,-81,-80,-81,,,,,,-86,-86,-88,-89,-90,,,,,,,,,,,,,,,,,
28,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,8,1.46187E+12,-55,-55,-56,-71,-71,-71,-69,-73,-72,-82,-79,-83,,,,,,,-88,-86,-90,-88,,,,,,,,,,,,,,,,,
29,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,9,1.46187E+12,-56,-57,-57,-71,-71,-70,-75,-74,-73,-80,-80,-80,,,,,-86,-85,-86,-88,-89,-88,,,,,,,,,,,,,,,,,
30,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,10,1.46187E+12,-63,-67,-67,-66,-67,-68,-68,-71,-70,-83,-83,-84,,,,,-86,-86,-86,-88,-88,,,,,,,,,,,,,,,,,,
31,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,11,1.46187E+12,-56,-56,-56,-68,-68,-68,-72,-70,-71,-83,-80,-84,,,,,-87,-86,-87,-90,-90,,,,,,,,,,,,,,,,,,
32,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,12,1.46187E+12,-55,-55,-55,-67,-68,-68,-70,-70,-70,-80,-80,-81,,,,,-87,-85,-85,-88,-90,,,,,,,,,,,,,,,,,,
33,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,13,1.46187E+12,-54,-53,-53,-68,-68,-68,-73,-70,-75,-79,-79,-80,,,,,-87,-85,-85,-88,-88,-88,,,,,,,,,,,,,,,,,
34,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,14,1.46187E+12,-61,-61,-61,-69,-67,-67,-67,-69,-67,-79,-78,-78,,,,,-87,,,,-88,-88,,,,,,,,,,,,,,,,,
35,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,15,1.46187E+12,-62,-62,-62,-68,-68,-68,-67,-70,-69,-80,-81,-80,,,,,-86,-86,-86,-88,-89,,,,,,,,,,,,,,,,,,
36,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,16,1.46187E+12,-62,-62,-62,-68,-68,-68,-71,-71,-71,-80,-81,-80,,,,,-86,-85,-86,-88,-89,,,,,,,,,,,,,,,,,,
37,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,17,1.46187E+12,-54,-55,-55,-69,-69,-69,-71,-71,-83,-81,-83,-81,,,,,-85,-88,-86,-87,,,,,,,,,,,,,,,,,,,
38,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,18,1.46187E+12,-55,-56,-56,-66,-67,-66,-70,-71,-70,-79,-83,-80,,,,,-85,-84,-86,-88,-90,,,,,,,,,,,,,,,,,,
39,"left-to-right-point(10.25,0.75).json",ed2.fct.unl.pt,2,10.25,0.75,44.82538,19,1.46187E+12,-56,-56,-56,-67,-67,-66,-72,-72,-71,-81,,-80,,,,,,-84,-86,-88,-88,,,,,,,,,,,,,,,,,,
40,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,0,1.46187E+12,-72,-72,-71,-75,-75,-75,-71,-71,-71,-77,-77,-78,,,,,-82,-83,-82,-89,-89,,,,,,,,,,,,,,,,,,
41,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,1,1.46187E+12,-53,-54,-53,-70,-71,-72,-69,-68,-72,-74,-74,-75,,,,,-85,-83,-83,-88,-89,-86,,,,,,,,,,,,,,,,,
42,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,2,1.46187E+12,-56,-56,-56,-73,-78,-73,-70,-70,-70,-74,-74,-74,,,,,-82,-84,-84,-87,-88,-86,,,,,,,,,,,,,,,,,
43,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,3,1.46187E+12,-54,-54,-54,-76,-76,-76,-77,-76,-76,-76,-76,-76,,,,,-85,-84,-86,-85,-88,,,,,,,,,,,,,,,,,,
44,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,4,1.46187E+12,-56,-56,-56,-77,-76,-76,-72,-72,-70,-74,-74,-74,,,,,-85,-84,-85,-85,-85,-88,,,,,,,,,,,,,,,,,
45,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,5,1.46187E+12,-56,-59,-58,-76,-76,-75,-75,-75,-76,-75,-75,-75,,,,,-85,-85,-84,-88,-87,-88,,,,,,,,,,,,,,,,,
46,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,6,1.46187E+12,-55,-55,-56,-78,-76,-80,-71,-72,-78,-74,-74,-74,,,,,-85,-85,-86,-87,-87,,,,,,,,,,,,,,,,,,
47,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,7,1.46187E+12,-55,-55,-55,-76,-77,-75,-73,-81,-72,-74,-73,-74,,,,,-87,-85,-87,-88,-85,,,,,,,,,,,,,,,,,,
48,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,8,1.46187E+12,-58,-58,-58,-76,-76,-76,-69,-69,-70,-74,-74,-74,,,,,-85,-86,-86,-88,-88,,,,,,,,,,,,,,,,,,
49,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,9,1.46187E+12,-55,-55,-54,-75,-75,-75,-71,-71,-71,-74,-74,-74,,,,,-84,-85,-86,-88,-88,,-90,,,,,,,,,,,,,,,,
50,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,10,1.46187E+12,-54,-54,-54,-81,-81,-81,-72,-71,-71,-73,-73,-74,,,,,-84,-86,-83,-90,-88,,-90,,,,,,,,,,,,,,,,
51,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,11,1.46187E+12,-55,-55,-55,-73,-74,-74,-71,-71,-71,-76,-73,-76,,,,,,-86,-85,-86,-89,,-91,,,,,,,,,,,,,,,,
52,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,12,1.46187E+12,-56,-56,-56,-83,-73,-72,-72,-71,-71,-74,-72,-74,,,,,-86,-85,-85,-86,-86,,-91,,,,,,,,,,,,,,,,
53,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,13,1.46187E+12,-54,-54,-54,-78,-78,-78,-69,-70,-71,-75,-75,-75,,,,,-85,-85,-84,,-86,,,,,,,,,,,,,,,,,,
54,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,14,1.46187E+12,-56,-57,-55,-71,-72,-71,-82,-73,-73,-75,-76,-75,,,,,-85,-86,-87,-87,-88,,,,,,,,,,,,,,,,,,
55,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,15,1.46187E+12,-56,-56,-56,-74,-75,-80,-74,-74,-74,-76,-76,-76,,,,,,-86,-88,-88,-87,-90,,,,,,,,,,,,,,,,,
56,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,16,1.46187E+12,-57,-57,-57,-77,-72,-76,-69,-69,-68,-74,-76,-75,,,,,,-84,-84,-89,-87,-89,,,,,,,,,,,,,,,,,
57,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,17,1.46187E+12,-56,-56,-57,-79,-79,-78,-76,-68,-78,-74,-74,-74,,,,,-83,-83,-84,-86,-89,-89,,,,,,,,,,,,,,,,,
58,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,18,1.46187E+12,-57,-59,-58,-82,-82,-82,-74,-75,-74,-78,-78,-77,,,,,-83,-82,-84,-88,-89,,,,,,,,,,,,,,,,,,
59,"left-to-right-point(12.25,0.75).json",ed2.fct.unl.pt,2,12.25,0.75,37.671387,19,1.46187E+12,-59,-58,-58,-78,-78,-77,-74,-75,-74,-75,-74,-75,,,,,-83,-82,-83,-88,-88,,-91,,,,,,,,,,,,,,,,
60,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,37.671387,0,1.46187E+12,-55,-55,-55,-73,-73,-73,-55,-56,-55,-67,-67,-68,,,,,-87,-86,-86,,-87,,,,,,,,,,,,,,,,,,
61,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,1,1.46187E+12,-55,-55,-55,-79,-78,-73,-64,-64,-64,-68,-69,-69,,,,,-87,-85,-84,-88,-87,-88,,,,,,,,,,,,,,,,,
62,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,2,1.46187E+12,-53,-53,-54,-74,-79,-73,-62,-60,-62,-64,-64,-64,,,,,,-84,-84,-89,-87,-88,,,,,,,,,,,,,,,,,
63,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,3,1.46187E+12,-56,-57,-56,-74,-74,-84,-71,-71,-71,-65,-65,-65,,,,,-88,-88,-84,-89,-88,-89,,,,,,,,,,,,,,,,,
64,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,4,1.46187E+12,-55,-56,-55,-88,-77,-77,-69,-65,-67,-65,-63,-65,,,,,-86,-87,-86,-83,-84,-84,,,,,,,,,,,,,,,,,
65,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,5,1.46187E+12,-56,-56,-56,-76,-76,-75,-67,-64,-67,-64,-64,-64,,,,,-86,-86,-86,-88,-85,-87,,,,,,,,,,,,,,,,,
66,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,6,1.46187E+12,-55,-55,-55,-79,-76,-77,-65,-66,-66,-64,-64,-64,,,,,,-86,-86,-86,-88,-87,,,,,,,,,,,,,,,,,
67,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,7,1.46187E+12,-55,-55,-56,-75,-74,-79,-65,-65,-65,-64,-64,-64,,,,,-86,-86,-88,-87,-86,,,,,,,,,,,,,,,,,,
68,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,8,1.46187E+12,-55,-55,-55,-77,-78,-78,-68,-65,-66,-65,-65,-65,,,,,-86,-86,-88,-87,-86,,,,,,,,,,,,,,,,,,
69,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,9,1.46187E+12,-56,-56,-56,-77,-76,-77,-65,-65,-69,-63,-63,-63,,,,,-84,-83,-85,-87,-86,-91,,,,,,,,,,,,,,,,,
70,"left-to-right-point(13.75,1.25).json",ed2.fct.unl.pt,2,13.75,1.25,171.66437,10,1.46187E+12,-57,-57,-56,-76,-81,-81,-68,-68,-67,-65,-65,-65,,,,,-84,-83,-86,-86,-87,-91,,,,,,,,,,,,,,,,,
