Fingerprint ID,coordinate_X,coordinate_Y,zone,f0:5c:19:94:1a:40,f0:5c:19:94:1a:41,f0:5c:19:94:1a:42,34:fc:b9:18:e4:c1,34:fc:b9:18:e4:c0,34:fc:b9:18:e4:c2,f0:5c:19:94:1a:50,f0:5c:19:94:1a:51,f0:5c:19:94:1a:52,4c:ed:fb:5a:5c:0c,4c:ed:fb:5a:5c:08,f0:5c:19:94:19:e1,f0:5c:19:94:19:e2,34:fc:b9:18:e8:21,34:fc:b9:18:e8:22,34:fc:b9:18:e8:20,f0:5c:19:94:19:e0,34:fc:b9:18:e4:d2,48:ee:0c:ed:93:b5,34:fc:b9:18:e4:d0,34:fc:b9:18:e4:d1,34:fc:b9:18:e8:30,34:fc:b9:18:e8:32,10:7b:44:eb:73:98,f0:5c:19:94:19:f2,f0:5c:19:94:19:f0,34:fc:b9:18:e7:21,34:fc:b9:18:e7:22,34:fc:b9:18:e7:20,f0:5c:19:94:19:f1,E1:E9:C3:D9:09:C3,FF:20:88:3C:97:E7,CA:E0:7D:11:26:B3
293,1.0,3.0,Personal,-63,-62,-61,0,0,0,-81,-80,-81,-91,-82,-87,-87,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,-86,-93
294,1.0,3.0,Personal,-64,-61,-60,-75,-76,-76,-81,-80,-80,-89,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,-89,-91
295,1.0,2.0,Social,-62,-63,-63,0,0,0,-84,-84,-84,-91,-85,0,0,-82,-86,-86,0,-90,-95,0,0,0,0,0,0,0,0,0,0,0,-95,-88,-96
296,1.0,2.0,Social,-63,-63,-61,0,0,0,-83,-82,-83,-92,-81,-83,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,-86,-95
297,1.0,2.0,Social,-63,-63,-66,0,0,0,-83,-83,-83,-92,-79,-81,-87,-83,-85,-85,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,-86,-96
298,1.0,2.0,Social,-62,-63,-61,0,0,0,-81,-81,-81,-92,-83,0,-85,-84,-85,-86,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,-85,-86,-96
299,1.0,2.0,Social,-74,-64,-63,-84,0,-86,-81,-81,-81,-94,-82,-81,-86,-84,-87,-86,-85,-91,0,0,0,0,0,0,0,0,0,0,0,0,-88,-85,-93
300,1.0,2.0,Social,-61,-64,-59,0,0,-83,-80,-80,-80,-93,-78,0,0,-82,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,-83,-94
301,1.0,2.0,Social,-61,-64,-59,0,0,0,-80,-80,-80,-92,-80,-77,-82,-83,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,-85,-97
302,1.0,2.0,Social,-68,-69,-68,0,0,0,-83,-83,-83,-93,-81,-82,-83,-83,0,0,-83,-90,0,0,0,0,0,0,0,0,0,0,0,0,-94,-83,-87
303,1.0,2.0,Social,-66,-69,-67,-80,0,-80,-87,0,-88,-95,-80,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,-83,-90
304,1.0,2.0,Social,-63,-65,-64,-82,-83,-84,-87,0,-86,-94,-80,0,0,-83,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-92,-93
305,1.0,2.0,Social,-64,-67,-64,-83,0,-83,-87,0,-87,-94,-79,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-90,-92
306,1.0,2.0,Social,-63,-66,-63,0,-82,-83,-85,-86,-86,-96,-81,-85,-87,0,0,0,-85,0,-95,0,0,0,0,0,0,0,0,0,0,0,-91,-84,-93
307,1.0,2.0,Social,-64,-67,-63,0,0,0,-87,-86,-86,-95,-81,0,-86,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-83,-93
308,1.0,2.0,Social,-65,-66,-63,-81,0,-82,-87,-87,-87,-95,-83,-84,-87,-85,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-83,-95
309,1.0,2.0,Social,-64,-66,-64,0,0,0,-87,0,-87,-93,-78,-83,-88,-86,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-85,-93
310,1.0,2.0,Social,-63,-67,-63,-82,0,-84,-87,-86,-87,-93,-79,-83,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,-84,-91
311,1.0,2.0,Social,-67,-68,-67,-82,-84,-83,-87,0,-86,-93,-82,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-90,-90
312,1.0,2.0,Social,-67,-68,-67,-82,0,-84,-85,-85,-85,-94,-80,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-89,-88
313,1.0,2.0,Social,-67,-68,-67,-81,0,-84,-86,-85,-85,-94,-83,0,0,-83,-88,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95,-91,-89
314,1.0,2.0,Social,-67,-68,-67,-82,0,0,-85,-86,-86,-93,-80,-84,-87,-84,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95,-89,-89
315,1.0,2.0,Social,-67,-68,-67,0,0,0,-86,-86,-85,-94,-78,-85,0,-84,0,0,0,0,-96,0,0,0,0,0,0,0,0,0,0,0,-93,-89,-100
316,1.0,2.0,Social,-67,-68,-67,-84,0,-87,-87,-85,-86,-93,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,-91,-93
