coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0.0,1.0,-76,-76.0,0-1 meters
0.0,1.0,-83,-79.5,0-1 meters
0.0,1.0,-80,-79.66666666666667,0-1 meters
0.0,1.0,-76,-78.75,0-1 meters
0.0,1.0,-82,-79.4,0-1 meters
0.0,1.0,-82,-82.0,0-1 meters
0.0,1.0,-89,-85.5,0-1 meters
0.0,1.0,-82,-84.33333333333333,0-1 meters
0.0,1.0,-79,-83.0,0-1 meters
0.0,1.0,-81,-81.0,0-1 meters
0.0,1.0,-81,-81.0,0-1 meters
0.0,1.0,-82,-81.33333333333333,0-1 meters
0.0,1.0,-79,-80.75,0-1 meters
0.0,1.0,-77,-77.0,0-1 meters
0.0,1.0,-81,-79.0,0-1 meters
0.0,1.0,-83,-80.33333333333333,0-1 meters
0.0,1.0,-78,-79.75,0-1 meters
0.0,1.0,-78,-79.4,0-1 meters
0.0,1.0,-81,-79.66666666666667,0-1 meters
0.0,1.0,-82,-80.0,0-1 meters
0.0,1.0,-85,-80.625,0-1 meters
0.0,1.0,-87,-81.33333333333333,0-1 meters
0.0,1.5,-86,-86.0,1-2 meters
0.0,1.5,-84,-85.0,1-2 meters
0.0,1.5,-85,-85.0,1-2 meters
0.0,1.5,-79,-83.5,1-2 meters
0.0,1.5,-75,-81.8,1-2 meters
0.0,1.5,-75,-75.0,1-2 meters
0.0,1.5,-74,-74.5,1-2 meters
0.0,1.5,-74,-74.33333333333333,1-2 meters
0.0,1.5,-74,-74.25,1-2 meters
0.0,1.5,-78,-78.0,1-2 meters
0.0,1.5,-74,-76.0,1-2 meters
0.0,1.5,-74,-75.33333333333333,1-2 meters
0.0,1.5,-77,-75.75,1-2 meters
0.0,1.5,-77,-76.0,1-2 meters
0.0,1.5,-78,-78.0,1-2 meters
0.0,1.5,-76,-77.0,1-2 meters
0.0,1.5,-77,-77.0,1-2 meters
0.0,1.5,-78,-77.25,1-2 meters
0.0,1.5,-76,-76.0,1-2 meters
0.0,1.5,-80,-78.0,1-2 meters
0.0,1.5,-76,-77.33333333333333,1-2 meters
0.0,1.5,-75,-76.75,1-2 meters
0.0,1.5,-76,-76.0,1-2 meters
0.0,1.5,-75,-75.5,1-2 meters
0.0,1.5,-78,-76.33333333333333,1-2 meters
0.0,1.5,-74,-75.75,1-2 meters
0.0,1.5,-79,-76.4,1-2 meters
0.0,1.5,-74,-74.0,1-2 meters
0.0,1.5,-75,-74.5,1-2 meters
0.0,1.5,-75,-74.66666666666667,1-2 meters
0.0,1.5,-81,-76.25,1-2 meters
0.0,1.5,-76,-76.0,1-2 meters
0.0,1.5,-74,-75.0,1-2 meters
0.0,1.5,-80,-76.66666666666667,1-2 meters
0.0,1.5,-75,-76.25,1-2 meters
0.0,1.5,-82,-82.0,1-2 meters
0.0,1.5,-86,-84.0,1-2 meters
0.0,1.5,-80,-82.66666666666667,1-2 meters
0.0,1.5,-80,-82.0,1-2 meters
0.0,1.5,-80,-81.6,1-2 meters
0.0,1.5,-85,-85.0,1-2 meters
0.0,1.5,-83,-84.0,1-2 meters
0.0,1.5,-85,-84.33333333333333,1-2 meters
0.0,1.5,-80,-83.25,1-2 meters
0.0,1.5,-80,-80.0,1-2 meters
0.0,1.5,-80,-80.0,1-2 meters
0.0,1.5,-77,-79.0,1-2 meters
0.0,1.5,-84,-80.25,1-2 meters
0.0,1.5,-78,-79.8,1-2 meters
0.0,1.5,-77,-79.33333333333333,1-2 meters
0.0,1.5,-79,-79.28571428571429,1-2 meters
0.0,1.5,-77,-79.0,1-2 meters
0.0,2.0,-81,-81.0,1-2 meters
0.0,2.0,-84,-82.5,1-2 meters
0.0,2.0,-85,-83.33333333333333,1-2 meters
0.0,2.0,-83,-83.25,1-2 meters
0.0,2.0,-87,-87.0,1-2 meters
0.0,2.0,-85,-86.0,1-2 meters
0.0,2.0,-82,-84.66666666666667,1-2 meters
0.0,2.0,-82,-84.0,1-2 meters
0.0,2.0,-81,-83.4,1-2 meters
0.0,2.0,-83,-83.0,1-2 meters
0.0,2.0,-82,-82.5,1-2 meters
0.0,2.0,-85,-83.33333333333333,1-2 meters
0.0,2.0,-84,-83.5,1-2 meters
0.0,2.0,-78,-78.0,1-2 meters
0.0,2.0,-85,-81.5,1-2 meters
0.0,2.0,-84,-82.33333333333333,1-2 meters
0.0,2.0,-78,-81.25,1-2 meters
0.0,2.0,-78,-78.0,1-2 meters
0.0,2.0,-77,-77.5,1-2 meters
0.0,2.0,-79,-78.0,1-2 meters
0.0,2.0,-79,-78.25,1-2 meters
0.0,2.0,-79,-78.4,1-2 meters
0.0,2.0,-79,-79.0,1-2 meters
0.0,2.0,-81,-80.0,1-2 meters
0.0,2.0,-80,-80.0,1-2 meters
0.0,2.0,-79,-79.75,1-2 meters
0.0,2.0,-80,-80.0,1-2 meters
0.0,2.0,-79,-79.5,1-2 meters
0.0,2.0,-83,-80.66666666666667,1-2 meters
0.0,2.0,-85,-81.75,1-2 meters
0.0,2.0,-83,-82.0,1-2 meters
0.0,2.0,-82,-82.0,1-2 meters
0.0,2.0,-86,-84.0,1-2 meters
0.0,2.0,-85,-84.33333333333333,1-2 meters
0.0,2.0,-82,-83.75,1-2 meters
0.0,2.0,-80,-80.0,1-2 meters
0.0,2.0,-80,-80.0,1-2 meters
0.0,2.0,-86,-82.0,1-2 meters
0.0,2.0,-84,-82.5,1-2 meters
0.0,2.0,-85,-85.0,1-2 meters
0.0,2.0,-84,-84.5,1-2 meters
0.0,2.0,-89,-86.0,1-2 meters
0.0,2.0,-82,-85.0,1-2 meters
0.0,2.0,-81,-84.2,1-2 meters
0.0,2.0,-79,-79.0,1-2 meters
0.0,2.0,-77,-78.0,1-2 meters
0.0,2.0,-77,-77.66666666666667,1-2 meters
0.0,2.0,-76,-77.25,1-2 meters
0.0,2.0,-83,-78.4,1-2 meters
0.0,2.0,-76,-78.0,1-2 meters
