Fingerprint ID,coordinate_X,coordinate_Y,c4:e9:84:42:ac:ff,8c:5b:f0:78:a1:d6,bc:4d:fb:52:ea:28,bc:4d:fb:52:ea:29,1c:ab:c0:df:99:c8,1c:ab:c0:df:99:c9,00:26:5b:d1:93:38,00:26:5b:d1:93:39,00:fc:8d:cf:98:08,00:fc:8d:cf:98:09
1006,-2.0,-1.5,-69,-75,-79,-79,0,0,0,0,0,0
1007,0,0,-68,-75,0,0,-70,-70,-76,-76,0,0
